category,datetime,headline,id,image,related,source,summary,url
company,1777068000,BlackRock® Canada Announces Final April Cash Distributions for the iShares® Premium Money Market ETF,139882750,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BLK,Yahoo,"TORONTO, April 24, 2026 (GLOBE NEWSWIRE) -- BlackRock Asset Management Canada Limited (“BlackRock Canada”), an indirect, wholly-owned subsidiary of BlackRock, Inc. (NYSE: BLK), today announced the final April 2026 cash distributions for the iShares Premium Money Market ETF. Unitholders of record on April 27, 2026 will receive cash distributions payable on April 30, 2026. Details regarding the final “per unit” distribution amounts are as follows: Fund NameFund Ticker Cash Distribution Per Unit iS",https://finnhub.io/api/news?id=7405f13af93e44edacda361fe5efcae40c53961a397052fa379bb71e76139ac0
company,1777061400,Crypto Has Another Positive Week As Investor Sentiment Improves,139881737,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BLK,Yahoo,Cryptocurrencies enjoyed another positive week as the ceasefire between the U.S. and Iran held and investor sentime...,https://finnhub.io/api/news?id=8160884aac4ceb1a3ec554e112aa4c9d4bdfc0d01c3e5032be0173f61a826c31
company,1777054207,"BlackRock Private Credit Fund sells 896,142.303 institutional class shares for $21.1 million finalized on April 20, 2026",139882804,,BLK,Finnhub,"April 24 - BlackRock Private Credit Fund - sells 896,142.303 institutional class shares for $21.1 million finalized on April 20, 2026 - SEC filing...",https://finnhub.io/api/news?id=c6fa1e07e0b482b8576a853b272157996da0e181a86af077a882b2d2c49b7e4d
company,1777053492,Global Bond Yields Jump As US Two-Year Hits 3.83% Amid Iran Tensions,139879526,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BLK,Yahoo,Rising oil prices and geopolitical risks push investors to reprice rate expectations across major central banks,https://finnhub.io/api/news?id=b060efa99df8867773369a89f6893c9abee236395a6c448142aa5a7def66fe68
company,1777050452,BlackRock Backs Bezos Project Prometheus While Advancing AI Agent Vision,139879527,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BLK,Yahoo,"BlackRock (NYSE:BLK) is participating as a key investor in Jeff Bezos's Project Prometheus, a planned $10b fundraising round. Project Prometheus is focused on large scale technology development, with BlackRock stepping in outside its usual asset management activities. At the same time, BlackRock engineering leaders are publicly outlining a vision for AI agents playing a central role in future asset management. For investors watching NYSE:BLK, these moves arrive as the stock trades around...",https://finnhub.io/api/news?id=0b2df98370a59083466127345f9d8046641f8d34e95db191bcb80c2e9a160042
company,1777050120,Why Morgan Stanley's stablecoin bet could reshape finance,139879503,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BLK,Yahoo,"In today's episode of 'The Daily Wolf' podcast, host Scott Melker discusses Morgan Stanley's (MS) new bet on stablecoins as it positions itself as the reserve standard for the stablecoin industry.""The Daily Wolf with Scott Melker"" airs on Yahoo Finance every day at 12:00 p.m. Tune in for your daily dose of all things crypto.Make sure to also check out Yahoo Finance's new crypto hub to find the latest crypto-related news.",https://finnhub.io/api/news?id=ad11c6ae4885a6e2b21758a42a66f5e3305e73e90260facbe0e948316687bb55
company,1777048487,Bitcoin ETFs rake in $1.9 billion,139879529,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BLK,Yahoo,"In today's episode of 'The Daily Wolf' podcast, host Scott Melker discusses how the digital asset landscape is undergoing a massive institutional transformation as $1.9 billion pours into bitcoin ETFs, Morgan Stanley launches its MSNXX fund to back stablecoin reserves under the new GENIUS Act, JPMorgan’s warnings over a $20 billion DeFi exploit, the DOJ charges against a soldier for Polymarket insider trading, and Coinbase finally releasing a roadmap to neutralize the 'quantum panic' threatening long-term encryption. 'The Daily Wolf with Scott Melker' airs on Yahoo Finance every day at 12:00 p.m. ET. Tune in for your daily dose of all things crypto. Make sure to also check out Yahoo Finance's new crypto hub to find the latest crypto-related news.""",https://finnhub.io/api/news?id=0ec186e9fb8762a7c22d41bb1ad8850c832f625da7397947ef0990eca9306fb3
company,1777048189,Bitcoin ETF inflows draw in $1.9B as crypto asset hovers near $80K,139879530,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BLK,Yahoo,"In today's episode of ""The Daily Wolf"" podcast, host Scott Melker discusses the inflows of $1.9 billion flooding into bitcoin ETFs (BTC-USD) over the past week, which comes as the crypto asset continues to hover near its 11-week high of $78,000 per token. ""The Daily Wolf with Scott Melker"" airs on Yahoo Finance every day at 12:00 p.m. Tune in for your daily dose of all things crypto. Make sure to also check out Yahoo Finance's new crypto hub to find the latest crypto-related news.",https://finnhub.io/api/news?id=d1177566bb699faaf3f28cce09f5c0b14c524bb0886291cdc88858f0629dd1f0
company,1777040580,Ameriprise Q1 Earnings Beat Estimates as Revenues & AUM Grow Y/Y,139877718,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BLK,Yahoo,"AMP reports solid Q1 results, with record earnings as revenues and AUM climb y/y, though rising expenses temper gains.",https://finnhub.io/api/news?id=2c8093e42c5e0b58d5a8b415dd6b7a901d41317139928798dd8ecb4526e81840
company,1777030309,Global Bonds Set for Worst Week in a Month as US-Iran Risks Rise,139875278,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BLK,Yahoo,"(Bloomberg) -- Global bond markets are heading for their worst week in a month as investors grow increasingly uneasy about a stalemate between the US and Iran.Most Read from BloombergUS Reduces Marijuana Restrictions in Lift to Ailing IndustryMeta Tells Staff It Will Cut 10% of Jobs in Push for EfficiencyAnthropic’s Mythos Model Is Being Accessed by Unauthorized UsersInside Alex Cooper’s Unwell: Tears, Screaming and Employees Looking for the ExitMicrosoft Offers Buyouts to About 7% of US Workers",https://finnhub.io/api/news?id=60e96b5b6f110c44122d183b4c2097a95040897be82512bd700aec18cfb80c32
