category,datetime,headline,id,image,related,source,summary,url
company,1777072560,"Related Digital Announces Financing for $16 Billion Oracle Data Center Project in Saline Township, Michigan",139882714,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BX,Yahoo,"Related Digital, a vertically integrated data center development and investment platform, and Blackstone (NYSE: BX) announced today that financing has been secured for Related Digital's $16 billion data center campus in Saline Township, Michigan, purpose-built for Oracle. The financing includes equity from Related Digital and funds affiliated with Blackstone, and fixed-rate, long term debt financing anchored by PIMCO-managed funds and accounts. Bank of America served as structuring agent and fin",https://finnhub.io/api/news?id=56e82ba2d8ca9da8ebc4fac57f41e86358a0facb7f5b71ab405c26055b6f3779
company,1777060602,Sector Update: Financial Stocks Decline Late Afternoon,139881868,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BX,Yahoo,Financial stocks fell in late Friday afternoon trading with the NYSE Financial Index declining 0.4%,https://finnhub.io/api/news?id=cef169da8a4c85a2873431c55e105d70245f3223f8cb79bc92251c4514036c09
company,1777053016,Financials Down as Private-Credit Fears Persist -- Financials Roundup,139881674,,BX,Finnhub,"Shares of banks and other financial institutions fell as private-credit worries persisted. Shares of Blue Owl, Blackstone and other private-credit fund managers fell ahead of earnings from some...",https://finnhub.io/api/news?id=18a72a165a40731993ca38aa6eaab2a5263145426681de6255b38118ce6b2544
company,1777046271,"Jim Cramer on Blackstone: “Too Many Short Sellers, But Not a Lot of Failures”",139879573,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BX,Yahoo,"Blackstone Inc. (NYSE:BX) was among the stocks covered in Jim Cramer’s Mad Money recap as he urged investors to focus on the fundamentals of companies. Cramer mentioned the company during the episode and stated: How about Blackstone, BX? Okay, not that long ago, we were reading about how this terrific private equity firm could be […]",https://finnhub.io/api/news?id=f208bbbf0eea2a70a5a0632bfd64d5f1bbaa6038e14a940b688d5794a2d0767b
company,1777041210,JPMorgan Is Building A Massive Private Credit Machine Powered By Bank Loans,139882232,https://cdn.benzinga.com/files/images/story/2026/04/24/JPMorgan-Chase--Co-.jpeg?width=2048&height=1536,BX,Benzinga,JPMorgan Chase &amp; Co. is aiming to channel &#34;tens of billions&#34; of dollars into loans originated by its commercial banking team.,https://finnhub.io/api/news?id=34a63c9f53a0ef8644922f6869464f3b19cfdd593cccd8fd59e1ba70cbff109a
company,1777040580,Ameriprise Q1 Earnings Beat Estimates as Revenues & AUM Grow Y/Y,139877718,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,BX,Yahoo,"AMP reports solid Q1 results, with record earnings as revenues and AUM climb y/y, though rising expenses temper gains.",https://finnhub.io/api/news?id=2c8093e42c5e0b58d5a8b415dd6b7a901d41317139928798dd8ecb4526e81840
company,1777037012,"JP Morgan Maintains Neutral on Blackstone, Lowers Price Target to $136",139890354,,BX,Benzinga,JP Morgan  analyst Kenneth Worthington   maintains Blackstone (NYSE:BX) with a Neutral and lowers the price target from $142 to $136.,https://finnhub.io/api/news?id=da51ad6bd850eb3444866a6499f085d2be7a672631dc014772cd16fe718b89eb
company,1777035689,"TD Cowen Maintains Buy on Blackstone, Lowers Price Target to $140",139890355,,BX,Benzinga,TD Cowen  analyst Bill Katz   maintains Blackstone (NYSE:BX) with a Buy and lowers the price target from $141 to $140.,https://finnhub.io/api/news?id=468d3d69b26230ad7fbee60213b0c9b68886d96400136709e5cda1f8bc9f6dca
company,1777029769,A Rare Chance To Buy Blackstone's $1.3 Trillion Empire At A Deep Discount,139877182,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2209596910/image_2209596910.jpg?io=getty-c-w1536,BX,SeekingAlpha,"Blackstone Inc. stock fell after Q1 earnings. Click to explore why BX may be a generational buying opportunity, key positives, and lingering risks.",https://finnhub.io/api/news?id=525b1d338e8e157d325a0b31a3c3b74675547b7149f4d060fa8b6e7874ece498
company,1777019298,"Oppenheimer Maintains Outperform on Blackstone, Raises Price Target to $156",139876708,,BX,Benzinga,Oppenheimer  analyst Christopher Kotowski   maintains Blackstone (NYSE:BX) with a Outperform and raises the price target from $154 to $156.,https://finnhub.io/api/news?id=b8daa20cd653803f5459afd25c26ccb0953034862df27004fc687a003d0086a8
