category,datetime,headline,id,image,related,source,summary,url
company,1777063322,"Dow Jones Futures: Apple, Amazon, Google Lead Earnings Wave For AI-Led Stock Market",139881689,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CAT,Yahoo,"The stock market is at highs but results and spending plans for Apple, Amazon, Google and more will be key for the AI-led rally",https://finnhub.io/api/news?id=c9d21eb957c793049697fc8e6c67ff6c0fafdc7040780d576bd69dd3071b9870
company,1777063260,"Top Stock Reports for Caterpillar, Texas Instruments & Boeing",139882713,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CAT,Yahoo,"Today's Research Daily features new research reports on 16 major stocks, including Caterpillar Inc. (CAT), Texas Instruments Inc. (TXN) and The Boeing Company (BA), as well as two micro-cap stocks Kewaunee Scientific Corp. (KEQU) and Vaso Corp. (VASO).",https://finnhub.io/api/news?id=2825ea746512c43536765eaab7c55bf2b1bce3580c9f058a4521f4fa50bc763e
company,1777056967,Cramer looks ahead to next week's big tech earnings,139888347,https://image.cnbcfm.com/api/v1/image/108297234-6ED3-MM-A-BLOCK-042426.jpg?v=1777070551&w=1920&h=1080,CAT,CNBC,'Mad Money' host Jim Cramer looks ahead to next week's market moving moments.,https://finnhub.io/api/news?id=b1cfed3ba8249597ee87e1aaf0d63aa41ba7634398bd0cae24f1bcaa25fed8e9
company,1777056799,Caterpillar (CAT) CFO Andrew Bonfield to Retire,139880575,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CAT,Yahoo,"Caterpillar Inc. (NYSE:CAT) is one of the 10 Best Performing Dow Stocks So Far in 2026. On April 9, 2026, Reuters reported that Caterpillar Inc. (NYSE:CAT) announced that CFO Andrew Bonfield will retire in October. The firm has chosen company veteran Kyle Epley as his successor. Epley will take over the post in May, having previously […]",https://finnhub.io/api/news?id=77e45fcaece8fe7454c1c8e3bccd3871078a12accc74567b50afb0e8dcc4d5f6
company,1777039207,Earnings Preview: Terex (TEX) Q1 Earnings Expected to Decline,139878024,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CAT,Yahoo,Terex (TEX) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,https://finnhub.io/api/news?id=e63b05e59425bb48a7037297b47602fb3c865fa6aefbe504f8ad1dccd281e671
company,1777025030,Cramer's Stop Trading: Johnson & Johnson,139878641,https://image.cnbcfm.com/api/v1/image/108296880-17770390171777039015-45480446201-1080pnbcnews.jpg?v=1777039016&w=1920&h=1080,CAT,CNBC,CNBC’s Jim Cramer explains why he is keeping an eye on shares of Johnson & Johnson.,https://finnhub.io/api/news?id=e43daa2ce7ed380156c39b9848e82bdfafec9ffd7dfcf503c31ec3142d17fcb3
company,1777024312,AI Did What Trump's Tariffs Didn't: Revive US Manufacturing,139876977,https://cdn.benzinga.com/files/images/story/2026/04/24/Ai-Stock-Market-Graph-Trading-Analysis-I.jpeg?width=2048&height=1536,CAT,Benzinga,"U.S. manufacturing PMI hit 54 in April, a 47-month high. AI capex, not Trump tariffs, is doing the heavy lifting — and Wall Street is betting on more.",https://finnhub.io/api/news?id=01392f83cdb47e9ea166289e2414d5ce412c2a5edb62dff546ca2ecc2270571b
company,1777023323,Cramer’s Mad Dash: Caterpillar,139878660,https://image.cnbcfm.com/api/v1/image/108296867-17770376131777037610-45480076791-1080pnbcnews.jpg?v=1777037612&w=1920&h=1080,CAT,CNBC,CNBC’s Jim Cramer delivers his daily Mad Dash.,https://finnhub.io/api/news?id=019e58fba343a414b9f1f2791f1f7b3d8dcfa21d8df23aee7ff5917e9d2c5567
company,1777017880,Caterpillar (CAT) Valuation Check After A Strong Short Term Share Price Run,139874266,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CAT,Yahoo,"Recent performance snapshot Caterpillar (CAT) has drawn investor attention after a period of strong share price returns. The stock is up 3.3% over the past day, 8.1% over the past week and 16.6% over the past month. See our latest analysis for Caterpillar. This latest surge adds to a strong run, with a 33.3% 90 day share price return and a very large 1 year total shareholder return. This may hint at changing growth expectations and a shift in how the market is pricing Caterpillar's risks and...",https://finnhub.io/api/news?id=a3fd4c0fb7867d320ef0eb5b2b2bd6a2498b253f5096184440d98f5a7303c64f
company,1777014000,Warren Buffett Found Plenty of Stock Buys Over the Years. Right Now His Company Looks Like One.,139874234,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CAT,Yahoo,"Berkshire Hathaway stock is in the midst of one of its worst periods of underperformance relative to the S&P 500, since Warren Buffett took control in 1965.",https://finnhub.io/api/news?id=f71e10baca27183151623b2baf5c40da46e0be5acd8151407c826297c981fdf1
