category,datetime,headline,id,image,related,source,summary,url
company,1777057200,AI Meets Quantum: Best Pick-and-Shovel Stocks for a Multi-Year Shift,139881777,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSCO,Yahoo,"NVIDIA's AI push and Cisco's quantum networking moves highlight a rising AI-quantum shift, with pick-and-shovel stocks set to gain early traction.",https://finnhub.io/api/news?id=1cb4445777c6a0608cc6e42aa065baf284b2cf56981976223dc89d8d2397031a
company,1777056754,"Cisco (CSCO) is in Talks to Acquire Astrix Security, The Information Says",139880576,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSCO,Yahoo,"Cisco (NASDAQ:CSCO) is one of the 10 Best Performing Dow Stocks So Far in 2026. On April 11, 2026, The Information reported that Cisco (NASDAQ:CSCO) is in talks to acquire cybersecurity startup Astrix Security for $250 million to $350 million. Persons familiar with the subject stated that conversations were still underway, with no final agreement […]",https://finnhub.io/api/news?id=8ad6f9eece5fcc42660976d474012009387951458a5e09ec90ac6ab88c65a06a
company,1777052231,Cybersecurity ETFs Face a Reckoning: Which 3 Will Weather the Downturn,139880504,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSCO,Yahoo,"Ransomware payouts, supply‑chain breaches, and state‑backed attacks have pushed cybersecurity spending into the category of must‑have corporate expenses rather than optional upgrades. For investors who want exposure to the security budgets that swell after every major breach, thematic ETFs offer a cleaner entry point than trying to pick winners in an industry where market share ... Cybersecurity ETFs Face a Reckoning: Which 3 Will Weather the Downturn",https://finnhub.io/api/news?id=37333604094b1518c3f233957392157f91b165c770a931e3b12c840d38d68a5b
company,1777043100,AVGO's Google Deal Aids Infrastructure Software Growth: What's Ahead?,139879335,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSCO,Yahoo,"Broadcom teams up with Google Cloud to launch Cloud Network Insights, offering end-to-end observability for multi-cloud, hybrid and SaaS environments.",https://finnhub.io/api/news?id=a556bc21c68b22e0e57f34ce15bb8e1f18c4799990e60441be8b21c3eb59cf6a
company,1777039725,Cisco Systems (CSCO): Can It Hit Trillion Dollar Milestone?,139877515,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSCO,Yahoo,"We just covered the 15 AI Stocks That Could Break the Trillion Dollar Barrier and Cisco Systems, Inc. (NASDAQ:CSCO) ranks 7th on this list. Cisco Systems, Inc. (NASDAQ:CSCO) is fast transforming from a stagnant legacy hardware provider into an AI infrastructure and high-margin software subscription play. The firm is viewed as a primary beneficiary of […]",https://finnhub.io/api/news?id=d7f14b070a6e044bf94f60116029cfc0b4244956ddb9dea5a04aaaad2bf03309
company,1777038304,"IBM, Honeywell, and Cisco Stocks Remind Us That If You’re Not Invested in AI, You’re Losing in Today’s Market",139880578,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSCO,Yahoo,"The recent earnings reports from three pillars of the legacy tech world – International Business Machines (IBM), Honeywell (HON), and Cisco (CSCO) – offer a masterclass in the fragmented reality of the 2026 stock market.",https://finnhub.io/api/news?id=fe3ac27bae20721600eb07bfde5977a2758e2ad4b5285bd21db103d8720877d4
company,1777036611,"Final Trades: Cisco, Hercules Capital and Amazon",139878559,https://image.cnbcfm.com/api/v1/image/108297033-17770504351777050432-45483517822-1080pnbcnews.jpg?v=1777050434&w=1920&h=1080,CSCO,CNBC,The Investment Committee give you their top stocks to watch for the second half.,https://finnhub.io/api/news?id=4055e7c08078d655329a1ba66d813999e4ba6efbedefc0b97a8207b53b05f0b1
company,1777036380,"South East Asia Building Management System (BMS) Industry Report 2026-2034: Surge in Demand for Energy Efficiency, Sustainability Initiatives, and Intelligent Facility Management Drives Expansion",139876341,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,CSCO,Yahoo,"The South East Asia Building Management System (BMS) market is set for significant growth due to rapid urbanization, smart technology adoption, and sustainability initiatives. The market is projected to expand from US$ 6.51 billion in 2025 to US$ 17.64 billion by 2034, at a CAGR of 11.71%. Key growth drivers include urban infrastructure development, energy efficiency demands, and smart city initiatives. Challenges include high initial investments and limited technical expertise. Key players, suc",https://finnhub.io/api/news?id=e243c62ac59702f320ee52b9377c73f246d23ba20924667583e89474c05cebce
company,1777035635,"CNBC Halftime Report Final Trades: Cisco Systems, Amazon, Hercules Capital",139880366,,CSCO,Benzinga,,https://finnhub.io/api/news?id=3c66ef3ca17a92b3a818dd1e56b0324ffb04b65265eaa528c5ad6c49dcb8e9b7
company,1777016984,"Congresswoman Discloses Hundreds Of Thousands In Stock Trades, Here's What She Bought",139876713,https://cdn.benzinga.com/files/images/story/2026/04/24/Congressional-Trades.jpeg?width=2048&height=1536,CSCO,Benzinga,"A member of Congress recently bought hundreds of thousands of dollars in stocks, marking her first trades since 2024.",https://finnhub.io/api/news?id=f02272094e6d62a07f4e06f7b5b15200747778486a5f258194d2aa76b53d25c2
