category,datetime,headline,id,image,related,source,summary,url
company,1777057589,Why The Narrative Around Diversified Energy (LSE:DEC) Is Shifting After Analyst And Deal Updates,139880633,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,C,Yahoo,"The fair value price target for Diversified Energy was adjusted slightly, moving from £16.41 to £16.25, a trim of around 1% that keeps the overall valuation view broadly intact. This shift sits alongside a mix of fresh coverage initiations and both higher and lower targets across the Street, giving you a more nuanced picture of how different analysts are weighing valuation, execution and growth risk. Read on to see how to interpret these moving targets and track the evolving narrative around...",https://finnhub.io/api/news?id=e7a0ac89da8f3d1d3d4723d343e0faa302489f1a56e7ce93be4b6ac14ae5a90d
company,1777043347,How The Schindler Holding (SWX:SCHN) Investment Narrative Is Shifting With Recent Analyst Revisions,139877676,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,C,Yahoo,"The consensus analyst price target for Schindler Holding is essentially flat, nudged from CHF 299.67 to CHF 299.08, which keeps the fair value signal tightly anchored around the CHF 299 to CHF 300 mark. This small adjustment lines up with what you are seeing in research, where bullish and bearish voices are refining views rather than making big calls, and where some upgraded ratings sit alongside slightly trimmed targets. Read on to see how to interpret these shifts and track the evolving...",https://finnhub.io/api/news?id=451398b6380e7dcbaa91fa496cee999686ab27c4df437d96591f91b3726785ba
company,1777043134,How Recent Analyst Moves Are Reframing The Popular (BPOP) Investment Story Around $160,139877677,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,C,Yahoo,"Popular’s fair value anchor has been nudged from $161.60 to $160.00, a small reset that keeps the price target framework largely intact while still updating the central reference point you might use. That change comes as analysts adjust targets, upgrade ratings and refine profitability views around a market conversation that increasingly clusters near the $160 mark. As you read on, you will see how to track these shifts and what they could mean for following Popular’s evolving analyst...",https://finnhub.io/api/news?id=9c8103c24465ec2b3696d6c768ff9feb29a36172e111eb73976ba4f9bd9e6924
company,1777040233,Citi Brings Google-Powered AI Avatar to Wealth Clients,139877678,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,C,Yahoo,"Citi Sky “doesn’t replace our advisors—it makes them more powerful,” said Andy Sieg, Citi’s head of Wealth.",https://finnhub.io/api/news?id=993ec99e2e294c70bd4f289ec35400dbbf98333086beb899312d268246a0c724
company,1777032591,"Week Ahead for FX, Bonds : Major Central Bank -2-",139877955,,C,Finnhub,"Investors will be watching to see if the private gauges outperform official ones again, but beyond the headline figures, focus will also be on indicators of orders, employment and input costs. Flash...",https://finnhub.io/api/news?id=3c0362eab982601e71caa6714150b16e4b7f485032e6bbabe2c329574fda68a9
company,1777031809,"LatAm stocks, FX perk up on Mideast hopes; Peru faces election probe",139877430,,C,Finnhub,"Currencies and stocks of most major Latin American economies inched higher on Friday as investors were hopeful of an imminent end to the conflict in the Middle East, while also monitoring electoral...",https://finnhub.io/api/news?id=401d8189077acebce125479123229201d0ac1ffc2cfa18126aacd442b3524baf
company,1777016984,"Congresswoman Discloses Hundreds Of Thousands In Stock Trades, Here's What She Bought",139876713,https://cdn.benzinga.com/files/images/story/2026/04/24/Congressional-Trades.jpeg?width=2048&height=1536,C,Benzinga,"A member of Congress recently bought hundreds of thousands of dollars in stocks, marking her first trades since 2024.",https://finnhub.io/api/news?id=f02272094e6d62a07f4e06f7b5b15200747778486a5f258194d2aa76b53d25c2
company,1777014109,Collapsing Volatility Turbocharges Returns in Carry Trades,139874251,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,C,Yahoo,"(Bloomberg) -- DoubleLine Capital and Van Eck Associates Corp. are among investors seeing renewed appeal in a currency strategy that’s revving up as the Middle East ceasefire helps steady markets and reignite risk appetite.Most Read from BloombergUS Reduces Marijuana Restrictions in Lift to Ailing IndustryMeta Tells Staff It Will Cut 10% of Jobs in Push for EfficiencyAnthropic’s Mythos Model Is Being Accessed by Unauthorized UsersInside Alex Cooper’s Unwell: Tears, Screaming and Employees Lookin",https://finnhub.io/api/news?id=881757d2a083b9f000b233cf26deb781a2d9a0a517f3fa2114f461a905c9454f
company,1777006693,North American Income outperforms in positive year for US share prices,139873880,,C,Finnhub,"North American Income Trust PLC on Friday said it is well placed to identify winners amid ongoing market disruption, as it posted full-year gains in net asset value. The Edinburgh-based investor in...",https://finnhub.io/api/news?id=31d3a0b1d42297849bf1a78887078b6a95fd9cc21b5ad175453b010d0278d849
company,1777003200,Ant International launches PayTo payment solution for Australian SMEs,139872645,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,C,Yahoo,"SYDNEY, April 24, 2026--Ant International today announced an exclusive move to integrate PayTo into its Global Account Service in Australia. This solution enables Australian export SMEs to access a faster, cost-effective, and more secure alternative to account-to-account pull payments.",https://finnhub.io/api/news?id=1688a8f0061fddbefec9122ceb262aa08bde48a362ca0c893aae96f8cadcab21
company,1777001793,South Korea's 'ant investors' are marching to U.S. equities even as domestic market hits record highs,139878738,https://image.cnbcfm.com/api/v1/image/108265373-1770957664963-gettyimages-121884470-Hkg5247135.jpeg?v=1770957674&w=1920&h=1080,C,CNBC,"From January to November 2025, South Korean investors have been the largest foreign buyers of U.S. stocks.",https://finnhub.io/api/news?id=dacd54ee54e6e8683853f839c43d556092fae562e0703fb6ed83bfabf1d71b4b
company,1776989881,How The NEXT (LSE:NXT) Narrative Is Shifting With Trimmed Valuation And Brand Acquisitions,139871337,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,C,Yahoo,"NEXT’s updated analyst narrative now centres on a small trim to fair value, shifting from £148.04 to £147.86 per share. Supportive voices still see this refreshed target as leaving room for value creation, while more cautious analysts view the adjustment as a reminder that earlier expectations may have been demanding. As you read on, you will see how this recalibration fits into both the bullish and bearish cases, and how to keep track of an evolving story around the shares. Analyst Price...",https://finnhub.io/api/news?id=e692713947495dc0048c38ebd5c719dae4303dba8c1c96ce2c3e81af9ce6f21b
company,1776989515,Amazon-Backed Nuclear Firm X-Energy Raises $1.02 Billion in IPO,139871289,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,C,Yahoo,"(Bloomberg) -- X-Energy Inc., a nuclear energy firm that counts Amazon.com Inc. as a backer, raised $1.02 billion in an upsized US initial public offering that priced above the marketed range.Most Read from BloombergAnthropic’s Mythos Model Is Being Accessed by Unauthorized UsersInside Alex Cooper’s Unwell: Tears, Screaming and Employees Looking for the ExitMeta Tells Staff It Will Cut 10% of Jobs in Push for EfficiencyMicrosoft Offers Buyouts to About 7% of US WorkersTrump Encourages Companies",https://finnhub.io/api/news?id=1def2f891c681423d4f6923a93989dc329684b71c5708125843d17280b440d5a
