category,datetime,headline,id,image,related,source,summary,url
company,1777063603,"S&P 500 Posts Fourth Consecutive Weekly Gain, Hits New Highs",139881811,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HCA,Yahoo,"The Standard & Poor's 500 index rose 0.55% this week to another round of fresh highs, led by the ene",https://finnhub.io/api/news?id=fbc6ec29288fc3280496a22e80554543cc7692570ab27a6dcee5d54ca2f24ed5
company,1777061129,Resilient Q1 2026 Earnings Despite Soft Volumes Could Be A Game Changer For HCA Healthcare (HCA),139881872,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HCA,Yahoo,"HCA Healthcare reported its first-quarter 2026 results, with sales rising to US$19.11 billion from US$18.32 billion and net income edging up to US$1.62 billion, while diluted EPS from continuing operations increased to US$7.15 from US$6.45 a year earlier. Beneath these headline figures, a steep drop in respiratory-related volumes and weather disruptions meant Medicaid supplemental programs played an important role in supporting overall performance. Next, we will examine how resilient...",https://finnhub.io/api/news?id=19f15c675f0345f935e7cbba911c5c3672eebce4756a8777001b87a32dc94553
company,1777060779,Sector Update: Health Care Stocks Fall Late Afternoon,139881873,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HCA,Yahoo,"Health care stocks were lower late Friday afternoon, with the NYSE Health Care Index down 1.1% and t",https://finnhub.io/api/news?id=241a528533796cced140952673e405238dbf7428a14e90f33cfef063f5ba5736
company,1777057503,Uncover the latest developments among S&P500 stocks in today's session.,139880231,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,HCA,ChartMill,Curious about the S&P500 stocks that are in motion on Friday? Join us as we explore the top movers within the S&P500 index during today's session.,https://finnhub.io/api/news?id=57fbda71592450f4e8d0911b7cbafc725583ff04126ea6c1144a6361c7a1f787
company,1777052597,Sector Update: Health Care Stocks Decline in Afternoon Trading,139879593,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HCA,Yahoo,"Health care stocks were lower Friday afternoon, with the NYSE Health Care Index and the State Street",https://finnhub.io/api/news?id=d0509f9950ba5d0e07117031431d365e4d15cea179ee084aa2fdbcb245276b65
company,1777050302,"In today's session, there are S&P500 stocks with remarkable trading volume.",139878497,https://www.chartmill.com/images/uploads/CM_Unusual_Volume_Small_free_b9d2e60841.webp,HCA,ChartMill,Let's have a look at what is happening on the US markets on Friday. Below you can find the S&P500 stocks with an unusual volume in today's session.,https://finnhub.io/api/news?id=9819814261086ec721e2117025399611e07ea1b53ef6fa6d7aa8c9c42c691489
company,1777049216,"HCA Healthcare, Inc. Q1 2026 Earnings Call Summary",139879594,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HCA,Yahoo,"Moby summary of HCA Healthcare, Inc.'s Q1 2026 earnings call",https://finnhub.io/api/news?id=7fe25e874f4059867acaa88e2002c87dd61f9da8c61df930acfcdb6f9079966b
company,1777048503,Top S&P500 movers in Friday's session,139878285,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,HCA,ChartMill,Stay updated with the movement of S&P500 stocks in today's session. Discover which S&P500 stocks are making waves on Friday.,https://finnhub.io/api/news?id=57220348ff675d1190361a6b28358a99d1b138a67d54f2e64bde9ca71fa0bb26
company,1777045800,HCA Healthcare Q1 Earnings Miss Estimates on Rising Expenses,139879595,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HCA,Yahoo,HCA's Q1 EPS misses estimates as rising expenses and weaker surgeries weigh despite modest revenue growth and gains in ER visits.,https://finnhub.io/api/news?id=57fe24f3c38f92188ca37d23abbd00ead80707462a7b662b63128222ed34a52a
company,1777045604,HCA (HCA) Q1 2026 Earnings Call Transcript,139877786,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HCA,Yahoo,"Sam Hazen: Good morning, and thank you for joining the call.  The start of the year presented a dynamic environment for HCA Healthcare, Inc. From a volume perspective, we did not experience the typical lift related to seasonal respiratory conditions.  On the positive side, however, we experienced a greater net benefit than anticipated from state supplemental programs.",https://finnhub.io/api/news?id=2f3a87d955f81d87e363296d5f6532868a64901ac1ef10aadb04ffc61a46ff63
company,1777044518,Top Midday Stories: Intel Shares Soar After Q1 Beat; Meta to use AWS Graviton Cores,139877481,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HCA,Yahoo,"The S&P 500 and Nasdaq Composite were up, while the Dow Jones Industrial Average was down in late-mo",https://finnhub.io/api/news?id=2808fb2095918b05bdcaba3454be9253bc3b9e5703092dbbe8f9b0e3887fb4fc
company,1777041761,HCA Healthcare: Policy Pressures May Be Limiting Admissions (Upgrade),139880021,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2227997007/image_2227997007.jpg?io=getty-c-w1536,HCA,SeekingAlpha,HCA Healthcare is upgraded to Hold after a 12% pullback and is now trading near fair value with a 7% free cash flow yield. Read more on HCA stock here.,https://finnhub.io/api/news?id=ebf69ccfa2b0b599516f6924de2ced3c09d15f9f6d4d8cc4882e7c991f2d4842
company,1777041642,HCA Healthcare Tops First-Quarter Estimates; Respiratory Admissions Fall,139877788,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HCA,Yahoo,"HCA Healthcare's (HCA) first-quarter results exceeded market expectations, though the hospital opera",https://finnhub.io/api/news?id=752c20b784fc9ff26d3d2f652316963ed8e604bc1d1a735b9160234df7e5f977
company,1777041304,These S&P500 stocks are gapping in today's session,139876941,https://www.chartmill.com/images/uploads/CM_Gap_Stocks_Small_free_ad767b11cf.webp,HCA,ChartMill,Let's have a look at what is happening on the US markets on Friday. Below you can find the S&P500 gap up and gap down stocks in today's session.,https://finnhub.io/api/news?id=8d82c883f6372c13ddcc53c010256c831a3d444c7db957ccc28e4793fef8562b
company,1777041096,"HCA Healthcare, Inc. (HCA) Q1 2026 Earnings Call Transcript",139879988,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,HCA,SeekingAlpha,"HCA Healthcare, Inc. (HCA) Q1 2026 Earnings Call April 24, 2026 10:00 AM EDTCompany ParticipantsFrank Morgan - Vice President of Investor RelationsSamuel...",https://finnhub.io/api/news?id=95064b43819f807db1c5588aaab1f019d194351e3c4593c836fbca744e299939
company,1777039178,HCA Healthcare Drops Despite Q1 Beat as Volume Weakness Concerns Investors,139877789,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HCA,Yahoo,"Shares of HCA Healthcare Inc. (NYSE:HCA) fell nearly 8% in premarket trading on Friday, even after the company delivered first-quarter results that slightly exceeded expectations.",https://finnhub.io/api/news?id=b802d69395b308b2788a9a3726b3cd0ca60a75cb8007f073976a3184af49f164
company,1777038033,Hospital Operator HCA Healthcare Flags Soft Respiratory Season As Volumes Lag,139882416,https://cdn.benzinga.com/files/images/story/2026/04/24/HCA-Healthcare_0.jpeg?width=2048&height=1536,HCA,Benzinga,"HCA Healthcare Q1 2026 revenue hits $19.11B, up 4.3% YoY. Adjusted EPS at $7.15. Company reaffirms full-year 2026 earnings guidance.",https://finnhub.io/api/news?id=98424e492a83a680bfe0ee5ca0979bee2f3795d17c69e595d44649f4299ab452
company,1777037730,9 Health Care Stocks With Whale Alerts In Today's Session,139879254,https://cdn.benzinga.com/files/images/story/2025/11/06/aggregated_options_3.jpg?width=2048&height=1536,HCA,Benzinga, ,https://finnhub.io/api/news?id=beb0bb6022a21a028992511e12cedbd0021f0eda4d56069272c322fc44bd6f87
company,1777037404,HCA (HCA) Reports Q1 Earnings: What Key Metrics Have to Say,139877790,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HCA,Yahoo,"While the top- and bottom-line numbers for HCA (HCA) give a sense of how the business performed in the quarter ended March 2026, it could be worth looking at how some of its key metrics compare to Wall Street estimates and year-ago values.",https://finnhub.io/api/news?id=5a9622c4d443c3024edaebd38d1e2f257b8c4d4986a723e9863ae8a698b6d838
company,1777037323,"Nasdaq 100 Marks Fresh Records, Intel Jumps 23% On AI Chip Mania: Stock Market Today",139879195,https://cdn.benzinga.com/files/images/story/2026/04/24/wall-street-midjourney.png?width=2048&height=1536,HCA,Benzinga,"Nasdaq 100 hit a fresh record as Intel surged 23% on a blowout quarter, while Charter Communications cratered and WTI sank 2% on Iran talks.",https://finnhub.io/api/news?id=53ffa64cd9f223df5c6758390df0e32bbdcdde62ade94ed654920bd104837bef
company,1777035005,Israel-Lebanon Ceasefire Extension Nudges US Equity Futures Higher Pre-Bell,139876333,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HCA,Yahoo,US equity futures nudged higher pre-bell Friday as Israel and Lebanon extended their ceasefire by th,https://finnhub.io/api/news?id=38a3e670abc6a28c748bcaca8fe9431491cd9d7a5f752fb375ad93f43dee0a2b
