category,datetime,headline,id,image,related,source,summary,url
company,1777070100,Prediction Markets: The Potential Multi‑Trillion Dollar Asset Class Hiding In Plain Sight,139883580,,HOOD,SeekingAlpha,,https://finnhub.io/api/news?id=583b22666fcccb7b4a2ba130731dd62658cb67575e79f0ed1e246b565128de2d
company,1777056967,Cramer looks ahead to next week's big tech earnings,139888347,https://image.cnbcfm.com/api/v1/image/108297234-6ED3-MM-A-BLOCK-042426.jpg?v=1777070551&w=1920&h=1080,HOOD,CNBC,'Mad Money' host Jim Cramer looks ahead to next week's market moving moments.,https://finnhub.io/api/news?id=b1cfed3ba8249597ee87e1aaf0d63aa41ba7634398bd0cae24f1bcaa25fed8e9
company,1777048506,'CFTC Sues New York to Assert Prediction Market Jurisdiction' - Bloomberg Law,139882021,,HOOD,Benzinga,https://news.bloomberglaw.com/securities-law/cftc-sues-new-york-to-assert-prediction-market-jurisdiction,https://finnhub.io/api/news?id=8858def7a96ffd5f5375a5d87007791697682b23e4e2a8ac767fa3912792f358
company,1777046763,"Wisconsin Sues Kalshi, Robinhood, Coinbase, Polymarket, Crypto.com For Violating Gambling Ban",139879607,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HOOD,Yahoo,"The Wisconsin DOJ just sued five prediction market operators, arguing their sports-based “event contracts” are simply illegal gambling venues in disguise.",https://finnhub.io/api/news?id=1919b5f0a891a883c2d5b8f907a8acf9e8d8562cd8eb9b5676fec17e5b747e6b
company,1777044451,Wisconsin Sues Prediction Markets Over Sports Betting Contracts,139877795,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HOOD,Yahoo,"The state alleges sports betting products on Kalshi, Polymarket and other financial platforms violate Wisconsin gambling laws.",https://finnhub.io/api/news?id=e84439dcf2344f8830ad4f6e4bad0bfc78c328890664ab7418438de032d2ad6f
company,1777038195,"Insider Trading Scandals Compound Prediction Market Pressures, Two Stocks Downgraded",139876503,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HOOD,Yahoo,"Department of Justice charges U.S. solider for insider trading on prediction markets. DraftKings, Flutter downgraded.",https://finnhub.io/api/news?id=ad535597e30e87a4e000f3ad551c978bd8e51dc6a48ebc7a455d3ecfd61b6fd1
company,1777035602,"Investors Heavily Search Robinhood Markets, Inc. (HOOD): Here is What You Need to Know",139877796,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HOOD,Yahoo,"Robinhood Markets (HOOD) has received quite a bit of attention from Zacks.com users lately. Therefore, it is wise to be aware of the facts that can impact the stock's prospects.",https://finnhub.io/api/news?id=964402467b06d954705eb05bb3e3b307d2092d903c7fc52619dc585218773853
company,1777034497,Coinbase Hit With Second State Lawsuit In 48 Hours As Wisconsin Joins Prediction Market Crackdown,139881207,https://cdn.benzinga.com/files/images/story/2026/04/24/Coinbase-Logo-Displayed-On-A-Smartphone-.jpeg?width=2048&height=1536,HOOD,Benzinga,"Wisconsin sued Coinbase, Robinhood, Kalshi, Polymarket and Crypto.com over sports prediction markets, testing CFTC Chairman Mike Selig&#39;s federal shield.",https://finnhub.io/api/news?id=7f9f6429361af31d912c54d44be2dfdaf99576c2f7fff3490ec1da9264e70805
company,1777029923,Prediction markets could soon be available in your retirement account,139879029,https://image.cnbcfm.com/api/v1/image/108295412-17768709752026-04-22t150947z_256676586_rc2fukatooin_rtrmadp_0_kalshi-results.jpeg?v=1776871037&w=1920&h=1080,HOOD,CNBC,"Bitwise, Roundhill and GraniteShares have filed applications with the SEC to offer event contracts as exchange-traded funds.",https://finnhub.io/api/news?id=ed231e2559915bdf14eb1a7ae887a71c6533cb78cd2672c663d1d2b102dbce15
company,1777026900,This Tech Company Is a Top AI Stock on Robinhood. I Still Can't Convince Myself to Buy It.,139875149,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HOOD,Yahoo,"Palantir's success over the past few years is undeniable, but this one's not for me.",https://finnhub.io/api/news?id=c92d749461568cb20c86ef0ff21572430a402ac208a218d224bbda6615c4f83d
company,1777024800,Robinhood earnings on tap as stock rebounds: A closer look,139874338,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HOOD,Yahoo,"Mizuho Americas senior financial technology analyst Dan Dolev chats with Yahoo Finance about Robinhood's (HOOD) upcoming earnings results next week, how the stock could recover, and more.",https://finnhub.io/api/news?id=e6aaca5d6b588a97bfbe04ddb124e4a967cb247505bbee96472d036a1136a806
company,1777014497,Wisconsin DOJ Targets Kalshi and Polymarket in Sweeping Prediction Market Crackdown,139873425,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HOOD,Yahoo,"Wisconsin sues Kalshi, Polymarket, Coinbase, Robinhood, and Crypto.com over sports event contracts it says are illegal gambling.",https://finnhub.io/api/news?id=11843a78f8f5005f158614fea7914d7bd1a720063cc8ec953654d707193a4992
company,1758686588,Why Is The Crypto Market Down Today?,136861920,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HOOD,Yahoo,"Crypto market holds $3.81 trillion support as Bitcoin slides to $111,874 and IP drops 12%. Key levels decide next moves",https://finnhub.io/api/news?id=5db47967bd2f88c37be0bfbf80dbaa1ff9281e66a450411122bc6ab8fa64da73
company,1776994284,"Sam Bankman-Fried Highlights How His Early Bets In Anthropic, SpaceX, Cursor Could Have Skyrocketed If Not Liquidated",139871378,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,HOOD,Yahoo,"Imprisoned cryptocurrency fraudster Sam Bankman-Fried on Wednesday touted his investments in some of the world's most valuable companies, and what the total stake could have been if the fire-sale had not occurred. ‘Many Such Cases’ Bankman-Fried, popularly known as SBF,...",https://finnhub.io/api/news?id=17fe732f4462f6669938594c9e63dcbedc30106902af25194a99d21b05042398
