category,datetime,headline,id,image,related,source,summary,url
company,1777062375,Best Dividend Kings: April 2026,139882939,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2232970921/image_2232970921.jpg?io=getty-c-w1536,JNJ,SeekingAlpha,"Dividend Kings beat SPY YTD. See which are undervalued with 10%+ expected returns using Dividend Yield Theory, plus dividend growth trendsâread now.",https://finnhub.io/api/news?id=17d072be3c2e3c14c0de6cc049ae37e3aad6d33565f5290f096d5c0dab42bc91
company,1777056764,Johnson & Johnson (JNJ) Exceeds First-quarter Earnings Projections,139880551,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JNJ,Yahoo,"Johnson & Johnson (NYSE:JNJ) is one of the 10 Best Performing Dow Stocks So Far in 2026. On April 14, 2026, Reuters reported that Johnson & Johnson (NYSE:JNJ) topped first-quarter earnings projections and raised its full-year forecast. The firm reported revenue of $24.1 billion, above forecasts of $23.6 billion. The adjusted earnings per share were […]",https://finnhub.io/api/news?id=9f7f74eb1d8d8aabda9c2f5838d4b644fb35bd4dae5b73902e34f35fff6f11cc
company,1777055802,Johnson & Johnson to offer four prescription medicines on TrumpRx website,139882766,,JNJ,Finnhub,"Johnson & Johnson will start selling four of its medications on the Trump administration's TrumpRx website, the company told Reuters on Friday. The company said it would begin offering...",https://finnhub.io/api/news?id=8b827b137159fcedaaec15bbc3fd497154ceaf761aa1fe34c45b7a65a67beef3
company,1777049409,Johnson & Johnson (JNJ): Growth Engine at a Value Price,139879416,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JNJ,Yahoo,We just covered the 15 Safe Stocks to Invest In For Beginners and Johnson & Johnson (NYSE:JNJ) ranks 5th on this list. Johnson & Johnson (NYSE:JNJ) has transformed from a slow-growth conglomerate into a pure play in innovative medicine and technology. This transformation is a direct result of the company spinning off its consumer health […],https://finnhub.io/api/news?id=4761dabd9634dea432af78ad69eca8b7325c6e1e64fe0ef0ce038bb452dd31a8
company,1777047916,Johnson & Johnson to launch on TrumpRx with 4 of its prescription drugs - CBS News,139881013,,JNJ,Finnhub,April 24 - Johnson & Johnson to launch on TrumpRx with 4 of its prescription drugs - CBS News...,https://finnhub.io/api/news?id=52d14ba8a0012b2ca5c24f9bd0ccde8219143b6c68d0d54089021b0d67860f1f
company,1777047713,'Johnson & Johnson To Launch On TrumpRx With 4 Of Its Prescription Drugs' - CBS News,139889226,,JNJ,Benzinga,https://www.cbsnews.com/news/johnson-and-johnson-trumprx-prescription-drugs/,https://finnhub.io/api/news?id=ad46a63fcc89eab55b7410e3e0c19c621bd313485cf2229268a5e93e490bf3b4
company,1777044130,Johnson & Johnson : First Quarter 2026 Earnings Infographic,139880264,,JNJ,Finnhub,Jst @uarter 2026 Results /£ Johnson & Johnson had a strong start to 2026 and is delivering on its promise for a year of accelerated growth and...,https://finnhub.io/api/news?id=ca1e873022bf6037a9cc71ce6323e38be14dacffa4ee56858b5fc032b6e265f7
company,1777040365,Billionaire Investor Cuts Tylenol Maker Kenvue Stake By 64%,139880331,https://cdn.benzinga.com/files/images/story/2026/04/24/Kenvue.jpeg?width=2048&height=1536,JNJ,Benzinga,Daniel Loeb trims major stake in Kenvue as company advances restructuring and prepares for acquisition by Kimberly-Clark.,https://finnhub.io/api/news?id=799735b6eb520349e0f2c225ba9db54410b0fb80868984296634ce61797fdfc5
company,1777039442,Johnson & Johnson to Acquire Atraverse Medical in Cardiac Device Expansion,139877581,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JNJ,Yahoo,"Johnson & Johnson (NYSE:JNJ) said on Friday it has agreed to acquire Atraverse Medical, Inc. , a privately held medical device company focused on technologies for left-heart access and radiofrequency procedures.",https://finnhub.io/api/news?id=2daede82f20e8c3ce4ff164d2f4f1f3470006b218bda19b75be16f881c604bd0
company,1777038153,Genmab A/S (GMAB) Rating Lifted by Goldman Sachs on Strong 2026 Catalyst Outlook,139876320,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JNJ,Yahoo,We recently compiled a list of the Top 10 AI-Powered Biotech Stocks to Buy Right Now. Genmab A/S is among the best biotech stocks. TheFly reported on April 22 that The Goldman Sachs Group raised its rating on GMAB from Neutral to Buy and set a price target of $30.50. The upgrade reflected expectations of […],https://finnhub.io/api/news?id=2df6b8ffb69c40a24c5f85982763cc007edeaeca6dd91387db0d47b1d536468d
company,1777037730,9 Health Care Stocks With Whale Alerts In Today's Session,139879254,https://cdn.benzinga.com/files/images/story/2025/11/06/aggregated_options_3.jpg?width=2048&height=1536,JNJ,Benzinga, ,https://finnhub.io/api/news?id=beb0bb6022a21a028992511e12cedbd0021f0eda4d56069272c322fc44bd6f87
