category,datetime,headline,id,image,related,source,summary,url
company,1777075200,"AI Chip Surge Elevates Taiwan, Korea in Global Equity Rankings",139887296,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JPM,Yahoo,"(Bloomberg) -- The artificial intelligence boom has triggered a seismic reshuffling of global equity markets, with Taiwan and South Korea muscling past European nations one by one.Most Read from BloombergGoogle Plans to Invest Up to $40 Billion in AnthropicUS Reduces Marijuana Restrictions in Lift to Ailing IndustryInside Alex Cooper’s Unwell: Tears, Screaming and Employees Looking for the ExitMeta Tells Staff It Will Cut 10% of Jobs in Push for EfficiencyChina to Curb US Investment in Tech Comp",https://finnhub.io/api/news?id=be95b134e266c899876fd2e01b26723d3e574b08021e2335abdca31eb44eadd4
company,1777064787,Why The Story Around Ares Commercial Real Estate (ACRE) Is Shifting With Mixed Analyst Targets,139881739,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JPM,Yahoo,"Ares Commercial Real Estate is back in focus as fair value estimates shift, with the consensus price target revised slightly lower from US$5.50 to about US$5.38. That move sits alongside mixed analyst calls, where some have lifted individual targets, such as from US$4.50 to US$5 or by US$1, while others, including JPMorgan, have trimmed their view by US$0.50. As you read on, you will see how these cross currents shape the evolving story around the stock and what to watch next in the analyst...",https://finnhub.io/api/news?id=7767834e17639aa6907d51289ca7cfbe935f98f45a304ec229a05dd17d8be1a6
company,1777063500,"Dividend Champion, Contender, And Challenger Highlights: Week Of April 26",139883063,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/image_1072593728.jpg?io=getty-c-w1536,JPM,SeekingAlpha,"Weekly dividend summary for Dividend Champions, Contenders & Challengers: dividend changes, upcoming ex-dividend dates and pay dates.",https://finnhub.io/api/news?id=19957f4453d0e1e79fb4e0780f32c03feead8f44f3d398be6c2e3abbebf66834
company,1777061931,‘The Jig Is Up’: 70% Crash Marks Quick End to Avis Short Squeeze,139881740,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JPM,Yahoo,"(Bloomberg) -- The speculative mania around Avis Budget Group Inc. erupted quickly. It collapsed even faster.Most Read from BloombergUS Reduces Marijuana Restrictions in Lift to Ailing IndustryMeta Tells Staff It Will Cut 10% of Jobs in Push for EfficiencyGoogle Plans to Invest Up to $40 Billion in AnthropicInside Alex Cooper’s Unwell: Tears, Screaming and Employees Looking for the ExitAnthropic’s Mythos Model Is Being Accessed by Unauthorized UsersIn just two days, with no clear cause, the car-",https://finnhub.io/api/news?id=3d865af8949b628c919a58e37ca19f73c5bf137ee5e5fc46b22c434a85cfaa56
company,1777061400,Kevin Warsh Is Ready to Fix the Fed. Inflation Is Standing in the Way.,139881741,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JPM,Yahoo,"Warsh, who is on track to succeed current Chair Jerome Powell, wants to lower interest rates and shrink the Fed’s balance sheet. Inflation may get in the way.",https://finnhub.io/api/news?id=8a6a5ccc9494331e42c7ee81352008a86fa4658311d8dceb3ac9bf270f1e4b34
company,1777060212,Monthly dividend ETF posts 13% return while Wall Street questions long-term sustainability of currency risk,139880528,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JPM,Yahoo,"VanEck J.P. Morgan EM Local Currency Bond ETF (NYSEARCA:EMLC) pays a monthly distribution that currently translates to a trailing yield near 6.1%, a level that sits above the 10-year Treasury at 4.3%, and the Fed funds upper bound has been held at 3.75% since December. This article evaluates whether that yield is durable, how the ... Monthly dividend ETF posts 13% return while Wall Street questions long-term sustainability of currency risk",https://finnhub.io/api/news?id=c1439dbfd48b43734b524b43c8cc079cea8c65a7724c7cf2464c799a2dbfaa56
company,1777060020,Week’s Best: JPMorgan’s AI Plans Spook Investors,139881742,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JPM,Yahoo,"On  Charles Schwab’s  earnings call last week, CEO Rick Wurster talked at length about how artificial intelligence can improve efficiency and boost growth.  It was another bout of worries about the impact of artificial intelligence that is weighing on shares of Schwab and other wealth management companies.  A former broker and investment advisor is facing civil and criminal charges over an alleged long-running scheme to defraud clients.",https://finnhub.io/api/news?id=32a2e6fbd19d4291f3c10483c544aaf8412b58073c6a53f5ba15bb3cda444f85
company,1777057356,White House Sends Team to Pakistan as Iran Balks at Talks,139880529,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JPM,Yahoo,"(Bloomberg) -- President Donald Trump will send envoys to Pakistan with the intention of meeting with Iranian officials, while Tehran sounded a pessimistic tone on the prospects for talks to end the eight-week war roiling the global economy.Most Read from BloombergUS Reduces Marijuana Restrictions in Lift to Ailing IndustryMeta Tells Staff It Will Cut 10% of Jobs in Push for EfficiencyAnthropic’s Mythos Model Is Being Accessed by Unauthorized UsersInside Alex Cooper’s Unwell: Tears, Screaming an",https://finnhub.io/api/news?id=95235e9e85dc9c47374ae3e8f8e49b74a21ee5d89e17751fd2ac819968446385
company,1777053600,Big banks reevaluate blockchain after $293 million KelpDAO exploit,139880530,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JPM,Yahoo,"Scott Melker, the host of 'The Wolf of All Streets' podcast, discusses JPMorgan flagging DeFi danger.'The Daily Wolf with Scott Melker' airs on Yahoo Finance every day at 12:00 p.m. ET. Tune in for your daily dose of all things crypto.Make sure to also check out Yahoo Finance's new crypto hub to find the latest crypto-related news.",https://finnhub.io/api/news?id=b5426a75661c640fbcc632b47e322a35dffdd1cdb7f1488118d12c96c39a08ad
company,1777052219,GDV’s $1.80 annual payout faces a hidden test as leverage amplifies market risk,139880497,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,JPM,Yahoo,"The Gabelli Dividend & Income Trust (NYSE:GDV) has pushed to an all-time high of roughly $29, with shares changing hands at about $29 and annual distributions stepped up to $1.80 per share. This article examines whether the monthly payout is backed by durable cash flow from the underlying portfolio, or whether the rally has pulled ... GDV’s $1.80 annual payout faces a hidden test as leverage amplifies market risk",https://finnhub.io/api/news?id=7b2836b1c9b9bf4c9f8c4123f63d7f16b329b85ec204638067b2caac6bece4ed
