category,datetime,headline,id,image,related,source,summary,url
company,1777063523,"KDP Q1 Deep Dive: Transformation Efforts, JDE Peet's Integration, and Segment Divergence",139881903,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KDP,Yahoo,"Beverage company Keurig Dr Pepper (NASDAQ:KDP) reported Q1 CY2026 results exceeding the market’s revenue expectations, with sales up 9.4% year on year to $3.98 billion. Its non-GAAP profit of $0.39 per share was 4.8% above analysts’ consensus estimates.",https://finnhub.io/api/news?id=7108b88829fdde8a3428ea54f2b53ac090ed7e5c66f011d8fc7ce9399bcd4ee9
company,1777049654,Keurig Dr Pepper: Good Dividend And Excellent Growth Prospects At A Bargain Price,139881234,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/459232825/image_459232825.jpg?io=getty-c-w1536,KDP,SeekingAlpha,Keurig Dr Pepper is about to spin off both its beverage and coffee entities. Read how this move could unlock opportunities for investors.,https://finnhub.io/api/news?id=f91da68f41a463807ba014bf7b76065b7b05ab01123eab1ff6673981ed553af6
company,1777047703,"UBS Maintains Buy on Keurig Dr Pepper, Raises Price Target to $34",139890315,,KDP,Benzinga,UBS  analyst Peter Grom   maintains Keurig Dr Pepper (NASDAQ:KDP) with a Buy and raises the price target from $32 to $34.,https://finnhub.io/api/news?id=33310abca7e88393b2534d80deca837557e9e188aba5b7e214addabc522369d6
company,1777046669,Keurig Dr Pepper (KDP) Is Up 9.6% After Mixed Q1 2026 And JDE Peet’s Deal Completion,139879662,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KDP,Yahoo,"Keurig Dr Pepper Inc. has reported past first-quarter 2026 results with sales rising to US$3,976 million from US$3,635 million a year earlier, while net income fell to US$270 million from US$517 million and basic and diluted EPS from continuing operations declined to US$0.20 from US$0.38. The quarter also marked the completion of the JDE Peet’s acquisition and reaffirmed 2026 guidance, highlighting how the refreshed coffee portfolio and stronger U.S. Refreshment Beverages momentum are...",https://finnhub.io/api/news?id=2e9766a4f7ed611d1a69dccc87f474165a83ca0d06ec26e7fbed5f5af66bef32
company,1777038143,These Analysts Increase Their Forecasts On Keurig Dr Pepper After Better-Than-Expected Q1 Results,139890316,https://cdn.benzinga.com/files/images/story/2026/04/24/Los-Angeles--California--Usa---28-Februa.jpeg?width=2048&height=1536,KDP,Benzinga,Keurig Dr Pepper (NASDAQ:KDP) reported better-than-expected Q1 earnings and affirmed its sales outlook. Analysts raised price targets for KDP stock.,https://finnhub.io/api/news?id=5319ca05563a8721001b9268e73ee33a2b37bf335b8810a766bf474b4ba0b70e
company,1777035321,"While Everyone Sold KDP, Bill Nygren Bought. Now the Rally Is Here.",139876533,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KDP,Yahoo,"Bill Nygren’s Oakmark Select Fund disclosed an increased position in Keurig Dr Pepper (NASDAQ: KDP) in its fourth-quarter 2025 commentary, buying the beverage giant while the stock drifted through the mid-$20s and most of Wall Street walked away. On April 23, 2026, shares jumped 7.5% after a first-quarter earnings beat, a belated nod to a ... While Everyone Sold KDP, Bill Nygren Bought. Now the Rally Is Here.",https://finnhub.io/api/news?id=9b8dfceda2cf4b9d0917203920c82ed65e2b87adb068c6241434441f90c3c2d0
company,1777033763,Why Is Keurig Dr Pepper (KDP) Stock Soaring Today,139876534,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KDP,Yahoo,Shares of beverage company Keurig Dr Pepper (NASDAQ:KDP) jumped 7.7% in the afternoon session after the company reported first-quarter 2026 results that surpassed analyst expectations.,https://finnhub.io/api/news?id=fd0c1c58df2f8d6232ec950466d51aba8a2e25f72c6c7914aff941f2df64edea
company,1777033377,Keurig Dr Pepper: Valuation And Technical Opportunities Should Quench Your Gain Thirst,139878113,,KDP,SeekingAlpha,,https://finnhub.io/api/news?id=137af9babe8bbdf7aa7794ac3b5c61d6fd04331be9d21b8103c9ed9bd51d51be
company,1777033349,"Evercore ISI Group Maintains In-Line on Keurig Dr Pepper, Raises Price Target to $30",139890317,,KDP,Benzinga,Evercore ISI Group  analyst Robert Ottenstein   maintains Keurig Dr Pepper (NASDAQ:KDP) with a In-Line and raises the price target from $28 to $30.,https://finnhub.io/api/news?id=f3dcbe5e8669bb4c276b266b67797249c12facb813af2570269f8a0b765a082c
company,1777032259,"JP Morgan Maintains Overweight on Keurig Dr Pepper, Raises Price Target to $33",139890318,,KDP,Benzinga,JP Morgan  analyst Andrea Teixeira   maintains Keurig Dr Pepper (NASDAQ:KDP) with a Overweight and raises the price target from $32 to $33.,https://finnhub.io/api/news?id=d29fc166729b0034f7ee69356d54b40fac81905029a38f39aaef19f2819a6ee7
company,1777030380,"Company News for Apr 24, 2026",139876535,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KDP,Yahoo,"Companies In The Article Are: HON,SNY, R and KDP",https://finnhub.io/api/news?id=68a3d680185002749ebca33ca5cbc1a90f1d0e2a1c47aeb8c0d42d9be86d815c
company,1777014395,Keurig Dr Pepper Inc (KDP) Q1 2026 Earnings Call Highlights: Navigating Growth Amidst Cost Pressures,139873510,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,KDP,Yahoo,Keurig Dr Pepper Inc (KDP) reports strong net sales growth despite challenges in the US Coffee segment and cost pressures impacting earnings.,https://finnhub.io/api/news?id=78d238f6be4feda7028842772938108730d17d00922e4e9c7146e279dd79736f
company,1777012598,"Records Undone: Oil, Iran, and an AI Identity Crisis Sink Wall Street",139873538,https://www.chartmill.com/images/uploads/THUMBNAILS_CHARTMILL_1000_528_4_e561876a84.webp,KDP,ChartMill,,https://finnhub.io/api/news?id=262019032b93c86251f6226e8219c93b4fba31461310466780aacaebdd63a418
