category,datetime,headline,id,image,related,source,summary,url
company,1777071024,Why Eli Lilly Stock Flopped on Friday,139882708,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LLY,Yahoo,"High hopes for a freshly approved drug might not be realized, if early data is any indication.",https://finnhub.io/api/news?id=63bd3fa2cab9e6abff85ae161d6d84a83e8cdfb497df5f75f794429c19f83f0a
company,1777068021,Merck & Co Inc: A Significant Addition to Eaton Vance Worldwide Health Sciences Fund,139882709,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LLY,Yahoo,Exploring the Fund's Strategic Moves in the Healthcare Sector,https://finnhub.io/api/news?id=8a5063a913a8f664db66b9a098a4934905e438aa7c8ced1ace9952f56a677cf2
company,1777057503,Uncover the latest developments among S&P500 stocks in today's session.,139880231,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,LLY,ChartMill,Curious about the S&P500 stocks that are in motion on Friday? Join us as we explore the top movers within the S&P500 index during today's session.,https://finnhub.io/api/news?id=57fbda71592450f4e8d0911b7cbafc725583ff04126ea6c1144a6361c7a1f787
company,1777056967,Cramer looks ahead to next week's big tech earnings,139888347,https://image.cnbcfm.com/api/v1/image/108297234-6ED3-MM-A-BLOCK-042426.jpg?v=1777070551&w=1920&h=1080,LLY,CNBC,'Mad Money' host Jim Cramer looks ahead to next week's market moving moments.,https://finnhub.io/api/news?id=b1cfed3ba8249597ee87e1aaf0d63aa41ba7634398bd0cae24f1bcaa25fed8e9
company,1777053186,Eli Lilly Stock Falls. Novo Extends Lead in Weight-Loss Drug Race,139879406,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LLY,Yahoo,"Eli Lilly Slides on Weak Obesity Script Data, Wegovy Pulls Ahead",https://finnhub.io/api/news?id=e19cd7682de9f2ed4c0d6af899d77f53475b5d934633c5bbceebbcc2b1a0fab3
company,1777050752,Eli Lilly Slips as Obesity Prescriptions Lag,139879407,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LLY,Yahoo,Early data shows Novo Nordisk's Wegovy outpacing Lilly's treatments.,https://finnhub.io/api/news?id=4cac948f9437270d3306a9036edfb2031694e4ed449161cf500097c76a9c9c2a
company,1777049340,Can Eli Lilly’s Foundayo Catch Up to Novo’s Wegovy Pill?,139881752,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LLY,Yahoo,Eli Lilly’s weight-loss pill appears to be falling behind oral Wegovy. Analysts say concerns are overblown.,https://finnhub.io/api/news?id=1f7a7379038c42c1277cb37790b8a69c08ebc9b08b72fd33b0fbc81934e07f07
company,1777047710,Eli Lilly: A Heavyweight Battle Isn't Won In Round 1,139881019,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1491530348/image_1491530348.jpg?io=getty-c-w1536,LLY,SeekingAlpha,Eli Lilly remains well-positioned in the obesity treatment market despite early script underperformance of Foundayo. Read more on LLY stock here.,https://finnhub.io/api/news?id=064a14deb1b213d46c040de2f04ff6f4f5fb9d8f7c62e64210a651a4d5f85e02
company,1777045560,Eli Lilly Stock Falls. Foundayo Is Fighting to Catch Novo’s Wegovy Pill.,139879408,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LLY,Yahoo,Eli Lilly’s weight-loss pill appears to be falling behind oral Wegovy. Analysts say concerns are overblown.,https://finnhub.io/api/news?id=6b9e2028071ea1ccf5e31f4d06fb41c9a6f359014160d69a9e644458301de8ea
company,1777043129,How Expanding GLP‑1 Offerings and Partnering With LillyDirect At Hims & Hers Health (HIMS) Has Changed Its Investment Story,139877487,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LLY,Yahoo,"In recent days, Hims & Hers Health expanded its platform so clinicians can prescribe Eli Lilly GLP‑1 weight loss treatments, such as Zepbound vials, KwikPen, and Foundayo, with fulfillment routed through LillyDirect, while also broadening access to Novo Nordisk therapies and strengthening peptide capabilities via a facility acquisition ahead of an FDA review on compounding. This move deepens the company’s role in prescription weight management, potentially reshaping its product mix and...",https://finnhub.io/api/news?id=0144ee9e8bd66c3d7c3e617a194430d05068bdefb51ebb72caf2b00aab6c5194
