category,datetime,headline,id,image,related,source,summary,url
company,1777064377,Is Ralliant Corporation (RAL) A Good Stock To Buy Now?,139881683,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LMT,Yahoo,"Is RAL a good stock to buy? We came across a bullish thesis on Ralliant Corporation on Old Rope Research’s Substack. In this article, we will summarize the bulls’ thesis on RAL. Ralliant Corporation’s share was trading at $46.58 as of April 20th. RAL’s trailing and forward P/E were 34.79 and 29.50 respectively according to Yahoo Finance. Ralliant Corporation (RAL) is a […]",https://finnhub.io/api/news?id=3e87f1a1cd141181e58c703f7f71d100fb66aa9a1f8d462e4ce465572a980204
company,1777057747,Why Lockheed Martin Stock Keeps Going Down,139880775,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LMT,Yahoo,Lockheed didn't make a lot of sales last quarter -- but that could change soon.,https://finnhub.io/api/news?id=1cc2ca85ad7a64248a77963e06715f1e0d62e60b6684947dae72522e1f61bf59
company,1777057503,Uncover the latest developments among S&P500 stocks in today's session.,139880231,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,LMT,ChartMill,Curious about the S&P500 stocks that are in motion on Friday? Join us as we explore the top movers within the S&P500 index during today's session.,https://finnhub.io/api/news?id=57fbda71592450f4e8d0911b7cbafc725583ff04126ea6c1144a6361c7a1f787
company,1777056803,LMT Q1 Deep Dive: Backlog Growth and Production Challenges Shape Outlook,139880776,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LMT,Yahoo,"Security and Aerospace company Lockheed Martin (NYSE:LMT) missed Wall Street’s revenue expectations in Q1 CY2026, with sales flat year on year at $18.02 billion. On the other hand, the company’s outlook for the full year was close to analysts’ estimates with revenue guided to $78.75 billion at the midpoint. Its GAAP profit of $6.44 per share was 3.8% below analysts’ consensus estimates.",https://finnhub.io/api/news?id=9d8b98440ddeae2803bc0f0ada016129ce90e6fb8bc6b907b7ab6f10880c33c8
company,1777054840,"Market Chatter: Lockheed Martin's F-35 Set for Higher Purchases by US Air Force, Navy",139880777,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LMT,Yahoo,Lockheed Martin's (LMT) F-35 fighter jet will see higher purchases by the US Air Force and Navy over,https://finnhub.io/api/news?id=3c3a7a337016ff7eeb1cab1f7008eb567001dbfc786e7c9e9f30e74cc07f60d5
company,1777052739,"How Many Patriot Missiles Are Left In U.S. Stockpile? Less Than Half, Report Shows.",139879496,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LMT,Yahoo,"New report shows U.S. expended supplies for key missiles and munitions in the Iran war. The DOD awarded Lockheed Martin, RTX and Kratos contracts.",https://finnhub.io/api/news?id=63564b2f787608a926381c6dfe154484a40899f44ff54cd744813391aae968a5
company,1777051560,Defense Stocks Selloff Deepens. The Sector Can Survive a ‘Blue Wave.’,139880627,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LMT,Yahoo,"The selloff in defense stocks has gotten out of hand, according to Citi analyst John Godyn.  Coming into Friday trading, shares of  Lockheed Martin Northrop Grumman General Dynamics RTX  and  L3Harris Technologies  were down 14% since the Iran war started and 8% since Monday.  “In just a few weeks, the top-down narrative on defense stocks has completely flip-flopped,” wrote Godyn on Thursday.",https://finnhub.io/api/news?id=0d82674d352ca1e2e026502b74e0daf4e99cc6424adaa7b6f9297b352ab59729
company,1777051091,1 ETF to Buy Before a $1.5 Trillion Defense Budget Hits,139879282,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LMT,Yahoo,"It’s quite obvious now that military stocks are not going to tumble significantly anytime soon. The forever wars will pause, only to be followed up with another conflict down the line, and the First Trust Indxx Aerospace & Defense ETF (NYSEARCA:MISL) benefits greatly from that. This one gives you exposure to everything that is in hot ... 1 ETF to Buy Before a $1.5 Trillion Defense Budget Hits",https://finnhub.io/api/news?id=c8946b8a687d17d0e328ce4356f8a9d1cefed43847d0505cd7dfcaf55836b100
company,1777048503,Top S&P500 movers in Friday's session,139878285,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,LMT,ChartMill,Stay updated with the movement of S&P500 stocks in today's session. Discover which S&P500 stocks are making waves on Friday.,https://finnhub.io/api/news?id=57220348ff675d1190361a6b28358a99d1b138a67d54f2e64bde9ca71fa0bb26
company,1777046735,"Lockheed Martin Q1 Earnings Miss Estimates on Cost Overruns, Profit Shortfall, RBC Says",139879562,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LMT,Yahoo,"Lockheed Martin (LMT) reported Q1 earnings that fell short of Wall Street expectations, fueled by pe",https://finnhub.io/api/news?id=ccd14a406d6a164a390dc34f1ecb5f01f21cfa2a6876d662d4ad942817b2740f
company,1777046563,"Defense Stocks Look Bulletproof, But The Bill Could Hit 2.6% Of GDP",139881377,https://cdn.benzinga.com/files/images/story/2026/04/24/Defense-stocks-.jpeg?width=2048&height=1536,LMT,Benzinga,"Defense stocks look bulletproof as military budgets rise, but widening deficits, higher debt and stubborn rates could turn the rearmament boom into a trap.",https://finnhub.io/api/news?id=3cfb81408978b07381716a310506d8dc119a59aab05f04caa3f75056604c148f
company,1777045201,LMT vs. HWM: Which Stock Is the Better Value Option?,139879563,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LMT,Yahoo,LMT vs. HWM: Which Stock Is the Better Value Option?,https://finnhub.io/api/news?id=adb4f4ad8302f5a6db4ac988b8099d50d0562dcc17e6d34c9579d2f6d88bc777
company,1777044956,"Lockheed Martin Faces Higher Risk to Meeting 2026 Outlook, BofA Securities Says",139877745,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LMT,Yahoo,"Lockheed Martin (LMT) is facing increased risk to meeting its outlook for 2026, with the ""burden of",https://finnhub.io/api/news?id=bc796ce6eee461a6dc14a174c369aeba505d78782fd4b7565243fe2571db10ef
company,1777043640,"Defense Stocks Can Survive Big Win by Democrats in Midterms, Says Citi",139879499,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LMT,Yahoo,"The selloff in defense stocks has gotten out of hand, from the perspective of Citi analyst John Godyn.  Shares of  Lockheed Martin Northrop Grumman General Dynamics RTX  and  L3Harris Technologies  are down 14% since the Iran war started and 8% since Monday.  “In just a few weeks, the top-down narrative on defense stocks has completely flip-flopped,” wrote Godyn on Thursday.",https://finnhub.io/api/news?id=5abc1a2d36aaad90ca0c7e40f518c938624820c983f96fcbc548162771b1bfe3
company,1777041304,These S&P500 stocks are gapping in today's session,139876941,https://www.chartmill.com/images/uploads/CM_Gap_Stocks_Small_free_ad767b11cf.webp,LMT,ChartMill,Let's have a look at what is happening on the US markets on Friday. Below you can find the S&P500 gap up and gap down stocks in today's session.,https://finnhub.io/api/news?id=8d82c883f6372c13ddcc53c010256c831a3d444c7db957ccc28e4793fef8562b
company,1777040180,US Space Force taps 12 firms for $3.2 billion Golden Dome missile defense contracts,139879847,,LMT,Finnhub,"April 24 - The U.S. Space Force has awarded contracts worth up to $3.2 billion to 12companies to develop space-based missile defense interceptor systems, advancing U.S. PresidentDonald Trump's...",https://finnhub.io/api/news?id=54b499d3bd22d479fe08f138388eeb67baadc553af250d362bb28fa2a5f3e6d7
company,1777039313,Leveraged ETFs Explained: 3 Picks for Active Traders Who Want Speed,139877669,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LMT,Yahoo,"Leveraged exchange-traded funds deliver a daily multiple of an underlying index’s return, using swaps and futures to reset exposure every session. The daily reset means multi-day performance depends on the path the index travels between the start and end points. Traders use these instruments to express short-horizon directional views over brief holding periods. Context shapes ... Leveraged ETFs Explained: 3 Picks for Active Traders Who Want Speed",https://finnhub.io/api/news?id=15da4631567f07b7bdeb25766f26571ed2df773e54c251fbba5323bce944d5be
company,1777037496,"'U.S. Air Force, Navy Plan To Boost F-35 Fleet After Record Budget; U.S.' Planned Purchases Of F-35 Would Increase From 38 Jets Next Year To 42 In 2028, 46 In 2029 And 48 In Both 2030 And 2031' - Bloomberg News",139889304,,LMT,Benzinga,https://www.bloomberg.com/news/articles/2026-04-24/us-air-force-navy-plan-to-boost-f-35-fleet-after-record-budget,https://finnhub.io/api/news?id=b5306d7aad65cc40a5a1abd99d0500247160d0c9f6536a3175f276e005a94eb3
