category,datetime,headline,id,image,related,source,summary,url
company,1777050371,Southwest Airlines board disagrees with ISS & Glass Lewis recommendation to vote against reelection of Christopher P. Reynolds,139881280,,LUV,Finnhub,Southwest Airlines Co: Southwest Airlines: board disagrees with ISS & Glass Lewis recommendation to vote against reelection of Christopher P. Reynolds...,https://finnhub.io/api/news?id=8020918618a501020eed0a2ff11b0f0d9458e41c98b99aeb9ab93e2c13c3c61d
company,1777038244,"Intel upgraded, DraftKings downgraded: Wall Street's top analyst calls",139876328,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LUV,Yahoo,"Intel upgraded, DraftKings downgraded: Wall Street's top analyst calls",https://finnhub.io/api/news?id=caef7dc83c266995df63e0cbcd5e0c26d9de9810fc26439ac207f580fffed3ac
company,1777037796,Southwest Airlines Analysts Boost Their Forecasts Following Q1 Earnings,139880648,https://cdn.benzinga.com/files/images/story/2026/04/24/737-MAX-8--------Ashlee-D--Smith.jpeg?width=2048&height=1536,LUV,Benzinga,"Southwest Airlines (NYSE: LUV) reported disappointing Q1 results and lowered its Q2 guidance, causing analysts to adjust their price targets.",https://finnhub.io/api/news?id=61ca7c4590666b2e65f5f749161797a907a32a674920b67f4e63727256cfe32d
company,1777034097,"Southwest Airlines shares are trading higher after HSBC upgraded the stock from Reduce to Hold and raised its price target from $24.4 to $36.1. Also, Evercore ISI Group raised its price target on the stock from $43 to $44.",139880649,,LUV,Benzinga,,https://finnhub.io/api/news?id=26e1885135302c25bcbe44d30a1bf777d6735e2c126558d5455541f38c10a66c
company,1777033261,"Evercore ISI Group Maintains In-Line on Southwest Airlines, Raises Price Target to $44",139880650,,LUV,Benzinga,Evercore ISI Group  analyst Duane Pfennigwerth   maintains Southwest Airlines (NYSE:LUV) with a In-Line and raises the price target from $43 to $44.,https://finnhub.io/api/news?id=64925ea327fa78efae4304ec896e078567a42a47fe33ec6cc6ccf71de34908c3
company,1777032083,"Here Are Friday’s Top Wall Street Analyst Research Calls: Advanced Micro Devices, Comcast, Draft Kings, IBM, Oracle, Shake Shack, Southwest Airlines, Tesla, and More",139875378,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,LUV,Yahoo,"Pre-Market Stock Futures: Futures are trading mixed as we get set to close out a wild week on Wall Street that saw a little bit of everything served with a massive helping of volatility. After a stellar Wednesday that saw both the Nasdaq and the S&P 500 hit new all-time highs, sellers returned on Thursday, ... Here Are Friday’s Top Wall Street Analyst Research Calls: Advanced Micro Devices, Comcast, Draft Kings, IBM, Oracle, Shake Shack, Southwest Airlines, Tesla, and More",https://finnhub.io/api/news?id=256cc47a0e6216a42fcd4696cf88c39f80bd7f0e2a66f774a7b552d394138f47
company,1777023553,Chevron CEO Expects Air Travel To 'Get Worse' Over The Next Few Weeks As Hormuz Crisis Pushes Fuel Costs Higher,139878204,https://cdn.benzinga.com/files/images/story/2026/04/24/Vueling-Plane-Approaxing-Bcn-Airport-Fro.jpeg?width=2048&height=1536,LUV,Benzinga,"Chevron CEO warns Iran war could push up jet fuel prices, raising airfare costs and cutting flight availability as markets tighten globally.",https://finnhub.io/api/news?id=559d108ed74b87e6575b3298c263b0626680711053cfc729c3b39505aeef9c4c
company,1777023014,This Southwest Airlines Analyst Is No Longer Bearish; Here Are Top 4 Upgrades For Friday,139877306,https://cdn.benzinga.com/files/images/story/2026/04/24/Warwick--Rhode-Islandseptember-2017-Chec.jpeg?width=2048&height=1536,LUV,Benzinga,Top Wall Street analysts changed outlook on top stocks. See all changes on our analyst ratings page. Check out what analysts say about LUV stock.,https://finnhub.io/api/news?id=31e1089710e9128c5b47b1cf367e07f97eb56cab7893957e8f1f101449085a3e
company,1777021365,Will Gas Prices Hit $5 In 2026? Prediction Markets Say It Could Well Happen,139877009,https://cdn.benzinga.com/files/images/story/2026/04/24/Truth-Social-Post.jpeg?width=2048&height=1536,LUV,Benzinga,Kalshi traders price in a 45% chance US gas prices hit $5 this year as Trump orders the Navy to shoot boats laying mines in the Strait of Hormuz.,https://finnhub.io/api/news?id=111e94874bbabe7e3908e239cec69e6fd2c32383922eacf20ce43ee2559fb9a9
company,1777016347,Phillips 66 To Rally More Than 9%? Here Are 10 Top Analyst Forecasts For Friday,139877025,https://cdn.benzinga.com/files/images/story/2026/04/24/Phillips-66.jpeg?width=2048&height=1536,LUV,Benzinga,"Benzinga analysts changed outlook on top names. For all rating changes, incl upgrades/downgrades, see analyst ratings page. See other analysts&#39; views.",https://finnhub.io/api/news?id=5e81c056e8c9e7ab69d21483457e2488f5281001f1f994a4970402b392670823
company,1777015704,"HSBC Upgrades Southwest Airlines to Hold, Raises Price Target to $36.1",139880655,,LUV,Benzinga,HSBC  analyst Achal Kumar   upgrades Southwest Airlines (NYSE:LUV) from Reduce to Hold and raises the price target from $24.4 to $36.1.,https://finnhub.io/api/news?id=7de6d232c7a477c96ef23abdbc4372109b89a9495e7cadebbc1e526182271f98
