category,datetime,headline,id,image,related,source,summary,url
company,1777068021,Merck & Co Inc: A Significant Addition to Eaton Vance Worldwide Health Sciences Fund,139882709,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MRK,Yahoo,Exploring the Fund's Strategic Moves in the Healthcare Sector,https://finnhub.io/api/news?id=8a5063a913a8f664db66b9a098a4934905e438aa7c8ced1ace9952f56a677cf2
company,1777067103,Merck (MRK) Stock Falls Amid Market Uptick: What Investors Need to Know,139882728,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MRK,Yahoo,"In the latest trading session, Merck (MRK) closed at $111.9, marking a -2.37% move from the previous day.",https://finnhub.io/api/news?id=ca0cdb807d4aa7f35c86bd3fddcb66be47260370b5359c6223bc4cd96698bd52
company,1777063860,Organon Stock Surges 31% on Sweetened $13 Billion Takeover Offer From Sun Pharma,139881821,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MRK,Yahoo,Organon stock rose 31% on a report that the acquisition bid for the women’s healthcare company has gone up.,https://finnhub.io/api/news?id=2424b79403a46e4462451627cb16ca2ff8d2cf636261d8b4f59a64ba06e4e19e
company,1777061219,Gilead’s Arcus Pullback and Idvynso HIV Challenge Might Change The Case For Investing In GILD,139881822,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MRK,Yahoo,"In April 2026, Arcus Biosciences said Gilead Sciences chose not to make a continuation payment, ending option rights to several early-stage Arcus programs while keeping time-limited options on select assets like AB801, AB598, AB102 and a TNF inhibitor. Around the same time, Merck’s newly approved Idvynso, a two-drug HIV regimen shown as non-inferior to Gilead’s Biktarvy, underscored rising competitive pressure in Gilead’s core HIV market just as it refines which external pipeline bets to...",https://finnhub.io/api/news?id=3007bb74afb8ec6d5e10b7fd94570ca85a38e97179fb05e146e6a044c6c3c85a
company,1777059905,Is Merck & Co. (MRK) One of the Best Bear Market Stocks to Invest in Right Now?,139880622,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MRK,Yahoo,"Merck & Co., Inc. (NYSE:MRK) is included among the 10 Best Bear Market Stocks to Invest in Right Now. On April 22, Merck & Co., Inc. (NYSE:MRK) and Google Cloud announced a major partnership aimed at strengthening Merck’s digital backbone as an AI-enabled enterprise. The multi-year investment, valued at up to $1 billion, will introduce […]",https://finnhub.io/api/news?id=d5eeb437f933bd6138b831ba5bf59c2a4ee07f941843419b951755e5c566d823
company,1777056726,Infinimmune and Merck (MRK) Enter into an Antibody Discovery Agreement,139880623,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MRK,Yahoo,"Merck & Co., Inc. (NYSE:MRK) is one of the 10 Best Performing Dow Stocks So Far in 2026. On March 31, 2026, Reuters announced that Infinimmune has signed an agreement with Merck & Co., Inc. (NYSE:MRK) to research and develop several antibody candidates, with potential milestone payments totaling $838 million. The deal includes an undisclosed […]",https://finnhub.io/api/news?id=b6bb293d1efba741372c59d5ebe95ad1865235e2cc825211c243322f953f0cbe
company,1777050540,Organon Stock Surges on Sweetened $13 Billion Takeover Offer From Sun Pharma,139880624,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MRK,Yahoo,Organon stock is rising once more on a report that the acquisition bid for the women’s healthcare company has gone up.,https://finnhub.io/api/news?id=bd4cc2c518e84f86678f43e8fded5ece9c3addffe9a86b3312d2b6e462e6973f
company,1777046800,Wall Street Says Buy Merck Over Pfizer. The Numbers Tell a More Complicated Story.,139882729,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MRK,Yahoo,"A tougher market puts two healthcare dividend giants in focus, as investors weigh income, stability, valuation, and long-term upside.",https://finnhub.io/api/news?id=5574dea2d57c82c4c2ed31daea18f329d469c90fc36f810537004e4c877691ca
company,1777043183,Alphabet Cloud AI Push And Valuation Outlook After Gemini And TPU News,139877440,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MRK,Yahoo,"Alphabet's Google Cloud unit introduced new TPU 8t and 8i AI chips, the Gemini Enterprise Agent Platform, and a $750m fund to support enterprise AI adoption at its recent Cloud Next conference. The announcements are tied to partnerships across sectors, including companies such as Nvidia, Broadcom, Marvell, Merck, Salesforce, Deloitte, and Ulta Beauty. For investors watching Alphabet (NasdaqGS:GOOGL), these Google Cloud AI announcements come with the stock trading around $338.89 and very...",https://finnhub.io/api/news?id=83ebdca57d360067b202afd213b2903b4f521cf35202ff743d1bd75d99bf2261
company,1777036080,Will Lower Gardasil Sales Hurt MRK's Vaccines Sales in Q1 Earnings?,139877661,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MRK,Yahoo,"Gardasil's sharp sales slump in China and Japan puts Merck under pressure heading into Q1 earnings, as new vaccine Capvaxive gains momentum.",https://finnhub.io/api/news?id=9e8d27e719d63056e0d0480ead118a62d17663d61f3ecea7d5e3cad817d6c59c
