category,datetime,headline,id,image,related,source,summary,url
company,1777074900,Want Exposure to SpaceX? These 2 ETFs Own It.,139882733,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MS,Yahoo,"SpaceX is one of the hottest companies right now, but its stock is not available to most investors. These ETFs offer a backdoor in.",https://finnhub.io/api/news?id=8632cbed5c5dce4caee47acbde69758213e320383866c6f4964a67c62a88ba15
company,1777071975,How The Avient (AVNT) Investment Story Is Shifting With Mixed Analyst Targets And Commodity Risks,139882734,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MS,Yahoo,"Avient’s fair value estimate currently sits at US$48.57, with no change to the core price target output in the latest update. Around that steady anchor, recent Street research has introduced a mix of higher targets in the low US$50 range and a more cautious sector stance. This reflects different views on how valuation and commodity exposure could play out. As you read on, you will see how these moving pieces fit together and what to watch to stay aligned with the evolving Avient...",https://finnhub.io/api/news?id=2b061f07696210d9aa86d994b5a755113fa875b89e6bd550504e4c38711eb21e
company,1777063500,"Dividend Champion, Contender, And Challenger Highlights: Week Of April 26",139883063,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/image_1072593728.jpg?io=getty-c-w1536,MS,SeekingAlpha,"Weekly dividend summary for Dividend Champions, Contenders & Challengers: dividend changes, upcoming ex-dividend dates and pay dates.",https://finnhub.io/api/news?id=19957f4453d0e1e79fb4e0780f32c03feead8f44f3d398be6c2e3abbebf66834
company,1777061400,Crypto Has Another Positive Week As Investor Sentiment Improves,139881737,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MS,Yahoo,Cryptocurrencies enjoyed another positive week as the ceasefire between the U.S. and Iran held and investor sentime...,https://finnhub.io/api/news?id=8160884aac4ceb1a3ec554e112aa4c9d4bdfc0d01c3e5032be0173f61a826c31
company,1777060020,Morgan Stanley adjusts UNH stock price target after earnings,139880593,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MS,Yahoo,"It’s funny how you barely think about healthcare companies until you actually need them. And what we would all want to see at such times is a simple, smooth checkup and the quiet efficiency. Not long ago, though, Wall Street was worried about UnitedHealth (UNH), with rising costs and pressure ...",https://finnhub.io/api/news?id=6b8bbd9223f865aefb936299920c26844da0f179fc5059c89b4e579b7985508f
company,1777055700,Morgan Stanley moves to become stablecoin industry’s reserve bank,139880631,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MS,Yahoo,"The investment banking giant Morgan Stanley (NYSE: MS) is expanding its presence in the digital asset industry with a strategic new move into the stablecoin sector. The firm’s investment management division, MSIM, has introduced the Stablecoin Reserves Portfolio. This government ...",https://finnhub.io/api/news?id=a7314a675964c7415b17b37215ca4adebb416d839a7f0a929552a2c40f31f514
company,1777053631,$100 Invested In Morgan Stanley 15 Years Ago Would Be Worth This Much Today,139882231,,MS,Benzinga, ,https://finnhub.io/api/news?id=6024a7992af198f264f3115238b9510a643b7c4fb980eaab16485eb4445d076a
company,1777050120,Why Morgan Stanley's stablecoin bet could reshape finance,139879503,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MS,Yahoo,"In today's episode of 'The Daily Wolf' podcast, host Scott Melker discusses Morgan Stanley's (MS) new bet on stablecoins as it positions itself as the reserve standard for the stablecoin industry.""The Daily Wolf with Scott Melker"" airs on Yahoo Finance every day at 12:00 p.m. Tune in for your daily dose of all things crypto.Make sure to also check out Yahoo Finance's new crypto hub to find the latest crypto-related news.",https://finnhub.io/api/news?id=ad11c6ae4885a6e2b21758a42a66f5e3305e73e90260facbe0e948316687bb55
company,1777049472,Amazon-Backed X-Energy Climbs 31% After $1.02 Billion US IPO,139879784,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MS,Yahoo,"(Bloomberg) -- X-Energy Inc. shares opened 31% above their IPO price, after the nuclear energy firm raised $1.02 billion in an upsized US initial public offering.Most Read from BloombergUS Reduces Marijuana Restrictions in Lift to Ailing IndustryMeta Tells Staff It Will Cut 10% of Jobs in Push for EfficiencyAnthropic’s Mythos Model Is Being Accessed by Unauthorized UsersInside Alex Cooper’s Unwell: Tears, Screaming and Employees Looking for the ExitTrump’s Messaging Blitz Divides Advisers as Ira",https://finnhub.io/api/news?id=d97bc7cab6bc62604f5fbe4f66f1f8ffe06049623a5d65108373d75051dfc4bf
company,1777047616,Morgan Stanley Targets BlackRock With Money Market Fund for Stablecoin Issuers,139879504,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MS,Yahoo,"Morgan Stanley debuted a money market fund intended for stablecoin issuers, billing the product as a way for companies to manage reserves.",https://finnhub.io/api/news?id=0f118c38f75c6fd95c10be93b3adef9f63ac8948ab719a2afb369719209c9411
company,1777045502,Morgan Stanley (MS) Could Be a Great Choice,139879505,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,MS,Yahoo,"Dividends are one of the best benefits to being a shareholder, but finding a great dividend stock is no easy task. Does Morgan Stanley (MS) have what it takes? Let's find out.",https://finnhub.io/api/news?id=7bac21fbffaa981a3ac6ec00be93457b8b3dc691e305a847c81c68845698ab28
company,1777041210,JPMorgan Is Building A Massive Private Credit Machine Powered By Bank Loans,139882232,https://cdn.benzinga.com/files/images/story/2026/04/24/JPMorgan-Chase--Co-.jpeg?width=2048&height=1536,MS,Benzinga,JPMorgan Chase &amp; Co. is aiming to channel &#34;tens of billions&#34; of dollars into loans originated by its commercial banking team.,https://finnhub.io/api/news?id=34a63c9f53a0ef8644922f6869464f3b19cfdd593cccd8fd59e1ba70cbff109a
