category,datetime,headline,id,image,related,source,summary,url
company,1777062336,Why Newmont Mining Rallied on Friday,139881694,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NEM,Yahoo,"Newmont's first quarter earnings were strong, and management continues to reward shareholders.",https://finnhub.io/api/news?id=a7dd5fc92ed9149fe8dc2ee60058ff47256e04a55cc3aafb4d78153577a06888
company,1777062060,3 Companies Shattering Quarterly Records,139881836,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NEM,Yahoo,"Several companies have knocked it out of the park this earnings cycle, breaking records in one way or another.",https://finnhub.io/api/news?id=084d47e1e9e954bacd1280b3bba968e75b390331710a08e98fbfd0fb3ecc02fd
company,1777057503,Uncover the latest developments among S&P500 stocks in today's session.,139880231,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,NEM,ChartMill,Curious about the S&P500 stocks that are in motion on Friday? Join us as we explore the top movers within the S&P500 index during today's session.,https://finnhub.io/api/news?id=57fbda71592450f4e8d0911b7cbafc725583ff04126ea6c1144a6361c7a1f787
company,1777055539,Newmont (NEM): The Best Gold Stock to Buy for the Long Term,139880767,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NEM,Yahoo,"Newmont Corporation (NYSE:NEM) is one of the 10 Best Gold Stocks to Buy for the Long Term. On April 22, 2026, Reuters reported that Ghana’s mining regulator gave Newmont Corporation (NYSE:NEM), AngloGold Ashanti, and Chinese-owned Zijin until December 2026 to transition mining operations to local contractors or face sanctions, according to sources with direct knowledge […]",https://finnhub.io/api/news?id=eb1c37b51287bec1060b9662784aeb90033e75cb5dac55a7481a43ae829ea196
company,1777048503,Top S&P500 movers in Friday's session,139878285,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,NEM,ChartMill,Stay updated with the movement of S&P500 stocks in today's session. Discover which S&P500 stocks are making waves on Friday.,https://finnhub.io/api/news?id=57220348ff675d1190361a6b28358a99d1b138a67d54f2e64bde9ca71fa0bb26
company,1777048080,NEM's Q1 Earnings and Sales Trounce Estimates on Higher Gold Prices,139880768,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NEM,Yahoo,Newmont beats Q1 earnings and revenue estimates as soaring gold prices drive strong year-over-year growth despite lower production.,https://finnhub.io/api/news?id=3834174e3171b081aa3af7dec681d0a049097d8f8bbf34591adf640cd0649aba
company,1777024920,"These Stocks Are Today’s Movers: Intel, AMD, Arm, SAP, Comfort Systems, and More",139875199,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NEM,Yahoo,"Intel surges after the chip maker reports strong first-quarter results, sending the likes of AMD and Arm higher as well.",https://finnhub.io/api/news?id=22cd781dc015e3ddda92934a98fbc147327e9a3aa7ebebbba0a6afe3929199cd
company,1777039804,"Gold Faces Headwinds From Calmer Markets, Yet Newmont’s Record Cash Flow Tells Another Story",139877739,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NEM,Yahoo,"The PHLX Gold/Silver Sector (^XAU) is nursing a roughly 3% pullback this week as the safe-haven bid that powered bullion to record territory fades. Spot futures were changing hands near $4,716.80 Friday morning, with the PHLX Gold/Silver Sector (^XAU) tracking forces like a cooler geopolitical picture, firmer risk appetite, and a fresh cut to one big ... Gold Faces Headwinds From Calmer Markets, Yet Newmont’s Record Cash Flow Tells Another Story",https://finnhub.io/api/news?id=e284027cb29b0bad858586673e55309a1948553959fd51daf6891b99d9c188f5
company,1777038480,Newmont beats quarterly profit estimates on strong gold prices,139876465,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NEM,Yahoo,"Newmont Corporation (NYSE:NEM, TSX:NGT, ASX:NEM, XETRA:NMM) shares rose nearly 3% on Friday after the world’s largest gold miner posted stronger-than-expected first-quarter earnings and free cash flow, helped by higher gold prices, stronger production and lower costs. The company also said it...",https://finnhub.io/api/news?id=4a865fd3f4f1a60f61432188fcf2b7a8c68cc6368364203ef512463178eaaa06
company,1777037323,"Nasdaq 100 Marks Fresh Records, Intel Jumps 23% On AI Chip Mania: Stock Market Today",139879195,https://cdn.benzinga.com/files/images/story/2026/04/24/wall-street-midjourney.png?width=2048&height=1536,NEM,Benzinga,"Nasdaq 100 hit a fresh record as Intel surged 23% on a blowout quarter, while Charter Communications cratered and WTI sank 2% on Iran talks.",https://finnhub.io/api/news?id=53ffa64cd9f223df5c6758390df0e32bbdcdde62ade94ed654920bd104837bef
