category,datetime,headline,id,image,related,source,summary,url
company,1777049388,Norfolk Southern Corporation Q1 2026 Earnings Call Summary,139879612,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NSC,Yahoo,Moby summary of Norfolk Southern Corporation's Q1 2026 earnings call,https://finnhub.io/api/news?id=02b3aa64fdad00c1825f90ca0d31d0e66e3e58a6b35c08c06949400cf2e2b9d5
company,1777048560,"Norfolk Southern Q1 Earnings & Revenues Top Estimates, Expenses Up Y/Y",139880797,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NSC,Yahoo,"NSC beats Q1 EPS and revenue estimates, but year-over-year profits slipped as fuel, merger and incident costs lifted expenses.",https://finnhub.io/api/news?id=bc372bdb72e2856dc815b0199ec360f0d10675bc6cae050a3c5a84fb33e2266c
company,1777041660,"When Transport Stocks Rally, Recession Risks Fade: Technicals",139877724,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NSC,Yahoo,"Strength from FedEx, J.B. Hunt, and CSX can be seen as a positive economic indicator. Their stock charts speak to further upside.",https://finnhub.io/api/news?id=bf0f26b864e248fa6fa91dbef3a857b6a15476e0068a1363e6271136c4215d3d
company,1777040211,Norfolk Southern (NSC) Q1 2026 Earnings Transcript,139877799,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NSC,Yahoo,"With me today are John Orr, our Chief Operating Officer; Ed Elkins, our Chief Commercial Officer; and Jason Zampi, our Chief Financial Officer.  Before we get into details, I want to start by recognizing our Thoroughbred team.",https://finnhub.io/api/news?id=aaee51b9376d5f5996dc97d2caef851be8aa2307c421198b8b9836a59ba9bd5c
company,1777039907,Norfolk Southern Tops Q1 Earnings Estimates as Revenue Holds Steady,139877800,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NSC,Yahoo,"Shares of Norfolk Southern Corporation (NYSE:NSC) edged slightly lower in premarket trading on Friday after the company reported first-quarter results that beat earnings expectations while revenue came in in line with forecasts. Earnings Beat, Revenue FlatThe railroad operator posted adjusted earnings per share of $2.",https://finnhub.io/api/news?id=b01c4bf73960a5b89c16d0529ba82ee7b4266e2c1a4a4518d1cc8ff173f484c7
company,1777039477,Norfolk Southern Is Managing 'Dramatic Rise In Fuel' Cost,139890305,https://cdn.benzinga.com/files/images/story/2026/04/24/Stanwood--Wa--Usa---February-7--2024-Nor_0.jpeg?width=2048&height=1536,NSC,Benzinga,"Norfolk Southern earnings fall as EPS drops despite flat revenue, with volume pressure and costs weighing on results.",https://finnhub.io/api/news?id=9e3e1a3c1103d365229d3ded39ba75bd744b95bbe7cac91836370340520729ab
company,1777039201,Norfolk Southern (NSC) Q1 Earnings: Taking a Look at Key Metrics Versus Estimates,139879613,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NSC,Yahoo,"While the top- and bottom-line numbers for Norfolk Southern (NSC) give a sense of how the business performed in the quarter ended March 2026, it could be worth looking at how some of its key metrics compare to Wall Street estimates and year-ago values.",https://finnhub.io/api/news?id=9939df96bb2582d5ddca91c68afa3547d50c3e9969b323688bfa5e133d4d11f6
company,1777038095,Norfolk Southern Corporation (NSC) Q1 2026 Earnings Call Transcript,139879127,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,NSC,SeekingAlpha,"Norfolk Southern Corporation (NSC) Q1 2026 Earnings Call April 24, 2026 8:30 AM EDTCompany ParticipantsLuke Nichols - Senior Director of Investor...",https://finnhub.io/api/news?id=769b71299ffa017b6b94301d7b95f40fac0d1ad407e4fa7db50ac2223fa9b030
company,1777036836,"Norfolk Southern Q1 2026: EPS Beats, Revenue Falls Short",139875909,https://www.chartmill.com/images/uploads/earnings_article_1_defce97180.webp,NSC,ChartMill,"Norfolk Southern Q1 2026 EPS beats estimates at $2.65 vs $2.55 expected, but revenue of $3.0B narrowly misses forecasts, sending shares down 1.1% pre-market.",https://finnhub.io/api/news?id=edd4aaf39f5e835e63e9cd6bf69de650f9d4439fa70dfb181e48419976256a1f
company,1777036587,Trade Tracker: Kevin Simpson buys more Norfolk Southern and Fedex,139878982,https://image.cnbcfm.com/api/v1/image/108297029-17770503541777050352-45483495299-1080pnbcnews.jpg?v=1777050353&w=1920&h=1080,NSC,CNBC,"Kevin Simpson, Capital Wealth Planning founder and CIO, joins CNBC's ""Halftime Report"" to detail his latest portfolio moves. The Committee debate the trades.",https://finnhub.io/api/news?id=0fc7b2defce4f9bb644b833661f88b7317edd3422aebeabfaf349f2b25a8a66e
company,1777036502,Norfolk Southern (NSC) Q1 Earnings and Revenues Beat Estimates,139877801,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,NSC,Yahoo,"Norfolk Southern (NSC) delivered earnings and revenue surprises of +5.45% and +0.25%, respectively, for the quarter ended March 2026. Do the numbers hold clues to what lies ahead for the stock?",https://finnhub.io/api/news?id=35f0671e25a343836e90653db35972c4f0da5c8596f13c712fda993cab4877b0
