category,datetime,headline,id,image,related,source,summary,url
company,1777055040,"Should You Buy, Hold, or Sell BMY Stock Ahead of Q1 Earnings?",139881844,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PFE,Yahoo,"BMY heads into Q1 earnings with strong growth portfolio momentum, but legacy drug declines and generic pressure may weigh on overall revenue performance.",https://finnhub.io/api/news?id=4dc7d31a932ac7fc97b2ad0aa912f8ba6e227cbab8bd4c1912f82a547e25bdc4
company,1777053902,These S&P500 stocks are the most active in today's session,139879815,https://www.chartmill.com/images/uploads/CM_Most_Active_Stocks_Small_free_fec0650b7f.webp,PFE,ChartMill,Explore the S&P500 index on Friday and find out which stocks are the most active in today's session. Stay updated with the stocks that are capturing market interest and driving market movements.,https://finnhub.io/api/news?id=ffebaf1162c5aa1168206f7723b164d26a548bc749f224badca189376094cd73
company,1777052071,"Bristol Myers, Pfizer Bring Eliquis to Cost Plus at $345 Monthly",139879531,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PFE,Yahoo,Drugmakers partner with Mark Cuban's platform to offer top blood thinner directly to consumers at transparent pricing,https://finnhub.io/api/news?id=b760b53444968b0ffa47e046fe02a337ca123bfe1c84c294c5cadafffcfe3e12
company,1777051802,Unusual Put Activity Is Flagging a Smart Trade Setup in This New Quantum Computing Stock,139882752,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PFE,Yahoo,"Quantum computing firm Infleqtion led Thursday with a 133.59 Vol/OI ratio. The Jan. 15/2027 $10 put made up 23% of volume, which was 2.8 times its 30-day average, making the trade sneaky smart. Here’s why.",https://finnhub.io/api/news?id=d9bfd25731533c725bcdb25852d465993e744c3b3756b4dd4a23c9a448aac28a
company,1777046800,Wall Street Says Buy Merck Over Pfizer. The Numbers Tell a More Complicated Story.,139882729,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PFE,Yahoo,"A tougher market puts two healthcare dividend giants in focus, as investors weigh income, stability, valuation, and long-term upside.",https://finnhub.io/api/news?id=5574dea2d57c82c4c2ed31daea18f329d469c90fc36f810537004e4c877691ca
company,1777042800,"Eli Lilly's new GLP-1 pill vs. Wegovy, JPMorgan initiates coverage on Hims",139877564,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PFE,Yahoo,"Market Catalysts Host Julie Hyman and Yahoo Finance Senior Reporter Brooke DiPalma track several of the day's top trending stock tickers, including prescriptions for Eli Lilly's (LLY) new GLP-1 weight-loss drug reportedly trailing the oral version of Novo Nordisk's Wegovy (NVO), JPMorgan analysts initiating coverage on Hims & Hers Health stock (HIMS), and Regeneron (REGN) offering new hearing-loss therapy plans for free.",https://finnhub.io/api/news?id=7e8d3092eec812137eb01bc9d91036d44b936e0d23d33b7813ba7f3d4cfe892b
company,1777042166,Pfizer Inc. (PFE): One of the Best Safe Stocks to Invest in for Beginners,139877721,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PFE,Yahoo,"We just covered the 15 Safe Stocks to Invest In For Beginners and Pfizer Inc. (NYSE:PFE) ranks 14th on this list. Pfizer Inc. (NYSE:PFE) is expanding into the cancer treatment market. The $43 billion acquisition of Seagen has begun to pay off, with Pfizer now controlling a dominant share of the Antibody-Drug Conjugate (ADC) market, […]",https://finnhub.io/api/news?id=a6ea7fe5849b36ad7cdb9aa9f1409f1e1a11015622de8e94e1a42575eee95083
company,1777035840,"Germany Anemia Treatment Market Forecast and Company Analysis Report 2026-2034 Featuring Akebia Therapeutics, GSK, Vertex, Pfizer, Sanofi, Takeda, Novartis, Johnson & Johnson, Roche, Biocon Biologics",139876321,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PFE,Yahoo,"The Germany Anemia Treatment Market is set to reach USD 1.05 billion by 2034, growing at a CAGR of 6.84% from USD 581.344 million in 2025. This growth is driven by an aging population, increased iron-deficiency cases, and the adoption of modern intravenous iron therapies, supported by robust healthcare reimbursement frameworks and extensive screening programs. Key metropolitan areas, including Berlin, Munich, Frankfurt, and Hamburg, are at the forefront, leveraging strong healthcare infrastructu",https://finnhub.io/api/news?id=ed463c0847ca4b1124d20ef2daec6621903f3b48d991780c5545e1ecaa0420d4
company,1777028340,Bristol Myers Squibb and Pfizer to Make Eliquis® (apixaban) Available via Mark Cuban Cost Plus Drug Company,139875274,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,PFE,Yahoo,"PRINCETON, N.J., April 24, 2026--Bristol Myers Squibb and Pfizer to Make Eliquis® (apixaban) Available via Mark Cuban Cost Plus Drug Company",https://finnhub.io/api/news?id=e0e45f5cf117c9c2f33bab4fd34d4cf95bf32736a9489a89d28450150a4087a7
company,1777022289,"Bristol Myers, Pfizer to offer blockbuster blood thinner through Mark Cuban's online pharmacy",139875865,,PFE,Finnhub,Bristol-Myers Squibb andPfizer said on Friday they will start selling theirjointly developed blood thinner through billionaire entrepreneurMark Cuban's online pharmacy beginning April 27. ...,https://finnhub.io/api/news?id=44a38701bb40077668bbd6d0e8f3c6e663c9608d1034e4ba0b4c8d16be289738
