category,datetime,headline,id,image,related,source,summary,url
company,1777064715,"Nasdaq, S&P 500 Reach New Peaks Amid Tech Rally, Log Weekly Gains",139881681,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,QCOM,Yahoo,"The Nasdaq Composite and the S&P 500 hit all-time peaks as technology stocks rallied on Friday, whil",https://finnhub.io/api/news?id=58f1295181b01ef1901a5673757503b37e335fe80b2394937b823dd49ef5692a
company,1777057503,Uncover the latest developments among S&P500 stocks in today's session.,139880231,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,QCOM,ChartMill,Curious about the S&P500 stocks that are in motion on Friday? Join us as we explore the top movers within the S&P500 index during today's session.,https://finnhub.io/api/news?id=57fbda71592450f4e8d0911b7cbafc725583ff04126ea6c1144a6361c7a1f787
company,1777053617,Qualcomm Stock Jumps 11% – Here’s Why It’s Still Down 13% in 2026,139880490,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,QCOM,Yahoo,"Shares of Qualcomm (NASDAQ:QCOM) are surging in Friday midday trading, up roughly 11% as the semiconductor complex catches fire. The stock last changed hands near $148.28, after closing Thursday at $133.95. That’s a sharp one-day reversal for one of the weakest large-cap chip names of the year. Today’s catalyst is sector-wide rather than company-specific. Intel ... Qualcomm Stock Jumps 11% – Here’s Why It’s Still Down 13% in 2026",https://finnhub.io/api/news?id=fdba1ac833edf895fe932f5b083c1f424665dd0b4b723850bb9200f63458d764
company,1777053294,Equities Mostly Rise Intraday as Intel Rallies; Oil Falls Amid US-Iran Peace Talk Hopes,139879418,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,QCOM,Yahoo,"US benchmark equity indexes were mostly higher intraday amid Intel's (INTC) post-earnings rally, whi",https://finnhub.io/api/news?id=8e62b7433db18c6682fc92e108c1de6765e87968371f4c6aac44c84e9f5bf9e7
company,1777050765,"CNBC Markets Now: April 24, 2026",139888369,https://image.cnbcfm.com/api/v1/image/108297181-S-MARKETCLOSE-CC-042426.jpg?v=1777064148&w=1920&h=1080,QCOM,CNBC,"CNBC Markets Now provides a look at the day's market moves with commentary and analysis from Michael Santoli, CNBC Senior Markets Commentator.",https://finnhub.io/api/news?id=efed57d8ee5e533a001eb477820c25ae9accdb9af6091b52ca6662b2bc83bd28
company,1777050704,"Post Market Wrap: April 24, 2026",139888370,https://image.cnbcfm.com/api/v1/image/108297180-S-MARKETCLOSE-CC-042426.jpg?v=1777064144&w=1920&h=1080,QCOM,CNBC,"CNBC brings you fast, accurate, and actionable business news and market updates.",https://finnhub.io/api/news?id=f69d4f52702e875488ad2c128dd6161f5bc8515b6b8834389a958de82a112ab1
company,1777050590,"Stock Market Today, April 24:Tech Strength Drives Midday Markets",139879422,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,QCOM,Yahoo,"Chip-fueled gains drove the Nasdaq ahead even as cyclicals and financials dragged on the Dow, today, April 24, 2026.",https://finnhub.io/api/news?id=bd78a038033194180092fd994272c3e27cd191ca2be8d32edb4739045f67a8aa
company,1777050302,"In today's session, there are S&P500 stocks with remarkable trading volume.",139878497,https://www.chartmill.com/images/uploads/CM_Unusual_Volume_Small_free_b9d2e60841.webp,QCOM,ChartMill,Let's have a look at what is happening on the US markets on Friday. Below you can find the S&P500 stocks with an unusual volume in today's session.,https://finnhub.io/api/news?id=9819814261086ec721e2117025399611e07ea1b53ef6fa6d7aa8c9c42c691489
company,1777049316,"Nvidia stock closes at record, pushing market cap past $5 trillion",139888350,https://image.cnbcfm.com/api/v1/image/108279135-17737747902026-03-17t190331z_1569419364_rc2i6kamf29y_rtrmadp_0_nvidia-gtc.jpeg?v=1773774953&w=1920&h=1080,QCOM,CNBC,"Nvidia's stock closed at its first record since October, as a rally in Intel pushed chipmakers higher. ",https://finnhub.io/api/news?id=2c82147e9a66c34c5853a9ccf7a1340cac1bfc1f73be9b0ceaaa1a3dfd353794
company,1777048503,Top S&P500 movers in Friday's session,139878285,https://www.chartmill.com/images/uploads/CM_Top_Movers_Small_free_2b4ff2fc22.webp,QCOM,ChartMill,Stay updated with the movement of S&P500 stocks in today's session. Discover which S&P500 stocks are making waves on Friday.,https://finnhub.io/api/news?id=57220348ff675d1190361a6b28358a99d1b138a67d54f2e64bde9ca71fa0bb26
