category,datetime,headline,id,image,related,source,summary,url
company,1777042800,"Eli Lilly's new GLP-1 pill vs. Wegovy, JPMorgan initiates coverage on Hims",139877564,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,REGN,Yahoo,"Market Catalysts Host Julie Hyman and Yahoo Finance Senior Reporter Brooke DiPalma track several of the day's top trending stock tickers, including prescriptions for Eli Lilly's (LLY) new GLP-1 weight-loss drug reportedly trailing the oral version of Novo Nordisk's Wegovy (NVO), JPMorgan analysts initiating coverage on Hims & Hers Health stock (HIMS), and Regeneron (REGN) offering new hearing-loss therapy plans for free.",https://finnhub.io/api/news?id=7e8d3092eec812137eb01bc9d91036d44b936e0d23d33b7813ba7f3d4cfe892b
company,1777041304,These S&P500 stocks are gapping in today's session,139876941,https://www.chartmill.com/images/uploads/CM_Gap_Stocks_Small_free_ad767b11cf.webp,REGN,ChartMill,Let's have a look at what is happening on the US markets on Friday. Below you can find the S&P500 gap up and gap down stocks in today's session.,https://finnhub.io/api/news?id=8d82c883f6372c13ddcc53c010256c831a3d444c7db957ccc28e4793fef8562b
company,1777041222,"Regeneron weighs overseas price for Otarmeni, gene therapy for rare type of hearing loss",139888704,https://image.cnbcfm.com/api/v1/image/107399561-17127823822020-11-23t221008z_1495473757_rc2a9k95q6to_rtrmadp_0_health-coronavirus-regeneron.jpeg?v=1712782465&w=1920&h=1080,REGN,CNBC,Regeneron will make its newly approved gene therapy available for free in the U.S. The company hasn't yet decided how much it will charge in other countries. ,https://finnhub.io/api/news?id=0c878f530a7d701e13222e0e11bfc64be85d5b8f5ddee12b904c8c9a59eb5c2f
company,1777036503,Gear Up for Regeneron (REGN) Q1 Earnings: Wall Street Estimates for Key Metrics,139877783,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,REGN,Yahoo,Get a deeper insight into the potential performance of Regeneron (REGN) for the quarter ended March 2026 by going beyond Wall Street's top-and-bottom-line estimates and examining the estimates for some of its key metrics.,https://finnhub.io/api/news?id=4286622b58625ad811fad398f0298bb9d3733b5f279d8ed7c141be54f3cab150
company,1777035840,Biogen Q1 Earnings: Can New Launches Offset Declining MS Franchise?,139877784,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,REGN,Yahoo,Biogen heads into Q1 earnings with new drugs like Skyclarys and Zurzuvae driving growth as legacy MS products face rising competitive pressure.,https://finnhub.io/api/news?id=b1a0e9e725055b6bbe8ec622a149ab6a673d490374b18ea7f802b4c51939b5ec
company,1777032500,Regeneron Strikes Deal With Trump Administration To Cut Drug Prices,139881132,https://cdn.benzinga.com/files/images/story/2026/04/24/Regeneron.jpeg?width=2048&height=1536,REGN,Benzinga,"Regeneron agrees to cut U.S. drug prices, offers free gene therapy, and expands access under a deal with the Trump administration.",https://finnhub.io/api/news?id=83105bc9e7899054d611245dca57d2c670c22590360334124649110870c1e120
company,1777029145,"Regeneron cuts White House pricing deal, offers new gene therapy for free",139875312,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,REGN,Yahoo,"The White House deal will see Regeneron offer all its new medicines at “MFN prices”, while providing Otarmeni for free to eligible patients.",https://finnhub.io/api/news?id=232c5b83e26836a61c113f6e9df11a7a49795353bdde39610dee554bc0d4ecf9
company,1777027560,Lilly tumbles on Foundayo’s shaky week; FDA to issue vouchers for psychedelics,139877571,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,REGN,Yahoo,"Lilly shares dipped, and Novo’s climbed, as Foundayo’s early trajectory diverged from that of oral Wegovy. Elsewhere, Regeneron inked a drug price deal and two companies announced leadership changes.",https://finnhub.io/api/news?id=38098db0ffe303b64e7fb50a6eeba5fa3f03a01310cb4a5a697666c35977a405
company,1777019066,"Israel-Lebanon ceasefire, Microsoft's first-ever buyouts, Starbucks' loyalty program and more in Morning Squawk",139878537,https://image.cnbcfm.com/api/v1/image/108285610-1774982732646-gettyimages-2269268390-emaz-1_em13990.jpeg?v=1774982853&w=1920&h=1080,REGN,CNBC,Here are five key things investors need to know to start the trading day.,https://finnhub.io/api/news?id=9ae5a8ab00d771471ab440a36d24235a5c8922a20b49c6da418bf1a41016cc54
company,1777017840,Regeneron CEO on first-ever FDA approved gene therapy to restore hearing,139878997,https://image.cnbcfm.com/api/v1/image/108296807-17770319351777031931-45478595330-1080pnbcnews.jpg?v=1777031934&w=1920&h=1080,REGN,CNBC,"Regeneron CEO Leonard Schleifer joins 'Squawk Box' to discuss the FDA's approval of the company's hearing loss drug Otarmeni, a gene therapy designed to treat and potentially reverse a rare form of inherited hearing loss in children, why the company is providing the therapy for free in the U.S., and more.",https://finnhub.io/api/news?id=64a43ab9b10342101a8f57932f7c1de4f6d39226f886c2d7791454e875c3c736
