category,datetime,headline,id,image,related,source,summary,url
company,1777060873,Sector Update: Energy Stocks Softer Late Afternoon,139881870,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SLB,Yahoo,"Energy stocks declined late Friday afternoon, with the NYSE Energy Sector Index shedding 0.7% and th",https://finnhub.io/api/news?id=7e641ec7c9aca1dc582e302654dfc2256fb12532c03024b4deb8336d4ddbfb74
company,1777053708,Sector Update: Energy Stocks Lower in Afternoon Trading,139880788,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SLB,Yahoo,"Energy stocks declined Friday afternoon, with the NYSE Energy Sector Index shedding 1.2% and the Sta",https://finnhub.io/api/news?id=d9be2dd5ca1f5022c04dffc0cda09631eebc65beaac4c6ff5726c2e4f4f81b38
company,1777051800,Baker Hughes Q1 Revenue Beats Estimates by $260 Million as LNG Orders Surge,139880789,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SLB,Yahoo,Baker Hughes beat Q1 2026 estimates with $6.59B in revenue as LNG equipment and data center orders offset Middle East drilling weakness.,https://finnhub.io/api/news?id=78bbc2a1d849111c45bddf75c79a3d48910689b17040ead035c306fd5fefa098
company,1777051140,SLB Q1 Earnings Beat on Digital Growth & ChampionX Contributions,139880790,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SLB,Yahoo,"SLB beats Q1 revenues and EPS estimates as Digital revenues rises 9% and ChampionX contributes, while the Middle East conflict disrupts key segments.",https://finnhub.io/api/news?id=a1df2a2f61108d6f3be2c3e824c8b6d3259f96bde75c266b1903901b1c2c1bf2
company,1777049422,SLB N.V. Q1 2026 Earnings Call Summary,139879585,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SLB,Yahoo,Moby summary of SLB N.V.'s Q1 2026 earnings call,https://finnhub.io/api/news?id=1082d2d8dfa9b8a33c809a6c449cadddb96448c9f61ccae814b31c28d52b33fd
company,1777048200,SLB Stock Wavers After Earnings. How the Iran War Disrupted Its Recovery.,139879295,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SLB,Yahoo,"While  SLB  claimed in January that its struggles in key regions were over, Friday’s earnings report signaled that the oilfield servcies provider is still facing headwinds.  CEO Olivier Le Peuch said SLB had “a challenging start to the year” becuase of the Iran war, with a pronounced impact on its well construction and reservoir performance divisions.  “SLB demobilized operations in a number of countries in response to customer actions to safeguard personnel and facilities,” Le Peuch said.",https://finnhub.io/api/news?id=d2d3fd108e4b3cfe1a1018d0a566411a4809a04cc071acecff1a6fa38721045f
company,1777045293,SLB N.V. (SLB) Q1 2026 Earnings Call Transcript,139880433,https://static.seekingalpha.com/assets/og_image_1200-29b2bfe1a595477db6826bd2126c63ac2091efb7ec76347a8e7f81ba17e3de6c.png,SLB,SeekingAlpha,"SLB N.V. (SLB) Q1 2026 Earnings Call April 24, 2026 11:00 AM EDTCompany ParticipantsJames McDonald - Senior Vice President of Investor Relations &...",https://finnhub.io/api/news?id=d130fb86ca66fdd377e2dbae9cdfcaa35f43517f3a024e19acd247ccb3ba20cc
company,1777042440,Tech Earnings Ahead,139877613,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SLB,Yahoo,Tech Earnings Ahead,https://finnhub.io/api/news?id=fccc6f9ea69ba8ea93dbdda72286cc5f82b3259be2762676d43cce8705e84f16
company,1777041000,"Earnings Season, Middle East Truce Talks, Gain Favor",139877770,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,SLB,Yahoo,"The Nasdaq is by far the outperformer among major indexes at this hour, +315 points or +1.17%.",https://finnhub.io/api/news?id=1e312fb7a27351643b9e493cdcc74ad86f2f29263eb69dfcdd1a7c72029b448b
company,1777039282,"SLB, Baker Hughes see oil exploration spending rising as Iran war disrupts supply",139879581,,SLB,Finnhub,"Top oilfield servicescompanies SLB and Baker Hughes said on Fridaythey expect higher spending on oil exploration and production,as tighter global supplies driven by the Middle East...",https://finnhub.io/api/news?id=340c6e4265febd35fa50a1ce78097a53907c0c4b8fb34a714f560632772cb681
