category,datetime,headline,id,image,related,source,summary,url
company,1777074900,"This Week's Market Wrap: Strong Earnings, Ceasefire Uncertainty, And Creeping Inflation",139883992,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2182036952/image_2182036952.jpg?io=getty-c-w1536,TXN,SeekingAlpha,"Semiconductor strength led by Intel and Texas Instruments drove index-level gains, while weak guidance and capex concerns punished software and select industrial names.",https://finnhub.io/api/news?id=a8e709f83485f7ea819169cd26523a4fefcdfd125d4448ec7a08a7523eb6b2fb
company,1777067400,Texas Instruments & IBM's Q1 Reports were Crucial to Market Sentiment,139882731,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TXN,Yahoo,"As the Q1 earnings season progresses, Texas Instruments and IBM have provided a pivotal moment that has reconfirmed market sentiment more than reshaped it.",https://finnhub.io/api/news?id=848c3e857efa3dd27265993b11f1b2c3979824e1dd613e7c18434f9f2eff878c
company,1777063260,"Top Stock Reports for Caterpillar, Texas Instruments & Boeing",139882713,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TXN,Yahoo,"Today's Research Daily features new research reports on 16 major stocks, including Caterpillar Inc. (CAT), Texas Instruments Inc. (TXN) and The Boeing Company (BA), as well as two micro-cap stocks Kewaunee Scientific Corp. (KEQU) and Vaso Corp. (VASO).",https://finnhub.io/api/news?id=2825ea746512c43536765eaab7c55bf2b1bce3580c9f058a4521f4fa50bc763e
company,1777061957,US Equity Indexes Mixed This Week as Surging Technology Fails to Outweigh Iran Geopolitics,139881736,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TXN,Yahoo,"US equity indexes closed mixed this week, as quarterly earnings helped the technology sector top cha",https://finnhub.io/api/news?id=dc961e4eb4498c2bcc6a8376cd7e1378666c5e98f16306feb5281f6a6bc28a9c
company,1777055351,Investing.com’s stocks of the week,139880605,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TXN,Yahoo,"Investing.com -- The S&P 500 and Nasdaq are on track to close out the week higher, as a three-week extension of the Israel-Lebanon ceasefire and reports of Iran's foreign minister traveling to Pakistan for talks offered some relief from geopolitical uncertainty.",https://finnhub.io/api/news?id=ea8399c81cbb110fda4cd853c480bdb24eac72e4de4d729e9fe520e8a2da68eb
company,1777054020,2 Chip Stocks That Have Gone Parabolic This Month. Should Investors Buy These High Flyers?,139880488,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TXN,Yahoo,These two surprising semiconductor stocks have surged in April as the AI chip boom continues to broaden.,https://finnhub.io/api/news?id=e22c7da547e52380b744ca6d3ec40bd1d418849cdcd772eb6ea118278f3d850f
company,1777048246,Nasdaq 100 Hits Best 4-Week Rally Since 2020 As Chips Notch Record Streak: The Week On Wall Street,139881174,https://cdn.benzinga.com/files/images/story/2026/04/24/Charlotte--North-Carolina---November-11-.jpeg?width=2048&height=1536,TXN,Benzinga,"Nasdaq 100 rallied 18% over four weeks, its best run since April 2020. Intel posts best month ever, SOXX logs longest winning streak.",https://finnhub.io/api/news?id=5b8bf400b43cab5216fe527c3af405a8c33d90da7761c3090a289d328189b6a8
company,1777044961,"Stock Market Holds Near Highs As Intel Leads Chip Surge; Apple, Tesla, ServiceNow In Focus: Weekly Review",139877453,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TXN,Yahoo,The stock market held near highs this week as Intel and chipmakers offset ServiceNow and software woes. Apple CEO Tim Cook is leaving.,https://finnhub.io/api/news?id=daed80e94c68f3496251e519bb3004386460947220c3e568deab913d864383f9
company,1777041231,Broad-based growth in tech sector is likely to power markets and economy: Advisors Capital's Feeney,139888427,https://image.cnbcfm.com/api/v1/image/108297081-17770549841777054981-45484721023-1080pnbcnews.jpg?v=1777054983&w=1920&h=1080,TXN,CNBC,"Joanne Feeney, Advisors Capital Management partner, and David Katz, Matrix Asset Advisors CIO, join 'Power Lunch' to discuss the latest news affecting markets.",https://finnhub.io/api/news?id=66865d5451ac97832807387a366f80b1e13becbcdff625c67dcf8afc48163982
company,1777038497,Texas Instruments Soars on Strong Q1 Results. Should You Buy TXN Stock Here?,139880636,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TXN,Yahoo,Texas Instruments stock rallies on better-than-expected Q1 earnings and raised future guidance. But should you buy TXN shares into post-earnings strength today?,https://finnhub.io/api/news?id=3dd97fe5212563535526b2cec10f118da1c2079cd72ba14ef645da2025c7e674
company,1777036440,"Pricing 'The Compute Theory Of Everything', Texas Instruments Hitting Inflection Point",139878499,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1173014771/image_1173014771.jpg?io=getty-c-w1536,TXN,SeekingAlpha,"I did buy one semi stock in 2024: Texas Instruments, and after 18 months of holding the stock, I decided to sell it late last year.",https://finnhub.io/api/news?id=355a35b212a05aa96a5dc12f35c9cfc0007eeb0fd5d2008c3fce65b9d9060bcf
company,1777035300,NYSE Content Update: AI Company Vast Data Announces $30 Billion Valuation,139876222,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TXN,Yahoo,The New York Stock Exchange (NYSE) provides a daily pre-market update directly from the NYSE Trading Floor. Access today's NYSE Pre-market update for market insights before trading begins.,https://finnhub.io/api/news?id=0ffe77e2ed7305f52dff1cd430f52e63e6acbb73ad4011c223b963f30dd057b0
company,1777035196,"Intel, Micron, AMD: 5 Dot-Com-Era Red Flags Just Reappeared In The Market",139879900,https://cdn.benzinga.com/files/images/story/2026/04/24/Stock-Market-Crash-Over-City-Backdrop.jpeg?width=2048&height=1536,TXN,Benzinga,Five semiconductor signals just fired together for the first time since the dot-com bubble. Every stock on the list is already above consensus targets.,https://finnhub.io/api/news?id=75c0544c20c4998683d3e29bbf487261b52926eeddcfb5e51c11b23fdd06758f
company,1777033283,Why Texas Instruments (TXN) Stock Is Trading Up Today,139876405,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TXN,Yahoo,Shares of analog chip manufacturer Texas Instruments (NASDAQ:TXN) jumped 17.2% in the afternoon session after the company reported first-quarter 2026 financial results that surpassed expectations and issued a strong outlook for the upcoming quarter.,https://finnhub.io/api/news?id=a2e62c227f8d91ce5dd0ef5ca7a1958583192a1b5c2e26b5ba25b861d1146af3
company,1777028721,Think It’s Too Late to Buy Texas Instruments? Here’s the Case for Getting In Now,139875252,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TXN,Yahoo,"Texas Instruments (NASDAQ: TXN) stock has climbed from roughly $162.74 per share in October 2025 to $236.31 at its Q1 FY26 filing on April 22, 2026, a roughly six-month run that pushed the analog giant to a multi-year high and a market cap near $256.96 billion. For investors who watched it happen and did nothing, ... Think It’s Too Late to Buy Texas Instruments? Here’s the Case for Getting In Now",https://finnhub.io/api/news?id=cfe431b1749e7b25c5988b56a946ccf1a547cdd9b6dab41755283ca14216bdad
company,1777028700,Texas Instruments Surges 18% as Data Center Demand Spikes 90%,139886538,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TXN,Yahoo,Texas Instruments is critical to data center construction and operation and is well-positioned to benefit from the boom.,https://finnhub.io/api/news?id=67dc8501b51b632ff5df4b52d64fed0385f9089e959c1277350a9e8a977bc937
company,1777027808,This Old-School Tech Name Is Emerging As An Unexpected AI Winner,139881176,https://cdn.benzinga.com/files/images/story/2026/04/24/Texas-Instruments-Corporate-Sign.jpeg?width=2048&height=1536,TXN,Benzinga,Texas Instruments stock just posted its third-biggest day ever as data center sales jumped 90%. Wall Street responded with 17 price target hikes.,https://finnhub.io/api/news?id=abf62abb536fea1adbf17dbc832ba21fd59b4074baf559ac4c6499c1ce0fc2ea
company,1777024800,Data center boom continues to buoy Texas Instruments,139877681,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,TXN,Yahoo,"On its first quarter earnings call, the company reported net income of $1.6 billion and gross profit of $2.8 billion.",https://finnhub.io/api/news?id=7f3c431d3738f3bd019e15fee983e7925b4988ee413b6a5b5ea46edd0ca5fb5c
company,1777019066,"Israel-Lebanon ceasefire, Microsoft's first-ever buyouts, Starbucks' loyalty program and more in Morning Squawk",139878537,https://image.cnbcfm.com/api/v1/image/108285610-1774982732646-gettyimages-2269268390-emaz-1_em13990.jpeg?v=1774982853&w=1920&h=1080,TXN,CNBC,Here are five key things investors need to know to start the trading day.,https://finnhub.io/api/news?id=9ae5a8ab00d771471ab440a36d24235a5c8922a20b49c6da418bf1a41016cc54
company,1777017300,Chart Of The Day: Can Anything Stop These Market Juggernauts?,139875227,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/2075787099/image_2075787099.jpg?io=getty-c-w1536,TXN,SeekingAlpha,Can anything stop the semiconductor stocks? Theyâre on one of their most powerful runs in years - with one juggernaut in particular standing out this week. Read more here...,https://finnhub.io/api/news?id=b31c40ab21825ab41767058287b49c24eb7e6f008ee2748953380411996284b4
company,1777015089,BofA's Vivek Arya on Intel's Q1 results: The turnaround is happening because of shortages,139878571,https://image.cnbcfm.com/api/v1/image/108296778-17770291641777029161-45477877020-1080pnbcnews.jpg?v=1777029163&w=1920&h=1080,TXN,CNBC,"Vivek Arya, Bank of America Securities senior semiconductor analyst, joins 'Squawk Box' to break down Intel's quarterly earnings results.",https://finnhub.io/api/news?id=8b029fbc729a1339c2ef8b6c3c0dbed17dbf147fd9fb7d7d1273d91e90304bbc
company,1777012729,Dan Ives: AI trade is in the third inning and that is bullish,139878664,https://image.cnbcfm.com/api/v1/image/108296753-6ED1-MC-Dan-042426.jpg?v=1777026867&w=1920&h=1080,TXN,CNBC,"Dan Ives, Global Head of Technology Research at Wedbush Securities, says AI demand is expanding across tech, with strong capex, cloud growth and chip shortages supporting a bullish outlook for stocks.",https://finnhub.io/api/news?id=d761ced9a55ae321366b6f0c2b9ea80e411f24f0acb9d6881b17b16ef192e41c
company,1777012598,"Records Undone: Oil, Iran, and an AI Identity Crisis Sink Wall Street",139873538,https://www.chartmill.com/images/uploads/THUMBNAILS_CHARTMILL_1000_528_4_e561876a84.webp,TXN,ChartMill,,https://finnhub.io/api/news?id=262019032b93c86251f6226e8219c93b4fba31461310466780aacaebdd63a418
