category,datetime,headline,id,image,related,source,summary,url
company,1777048031,"UBS Maintains Neutral on Union Pacific, Raises Price Target to $274",139889286,,UNP,Benzinga,UBS  analyst Thomas Wadewitz   maintains Union Pacific (NYSE:UNP) with a Neutral and raises the price target from $253 to $274.,https://finnhub.io/api/news?id=14feb2c86c0b4fccae5ca9334003895997f65cbd6737eb9459484c46b85a2f17
company,1777042341,"Citigroup Maintains Buy on Union Pacific, Raises Price Target to $307",139889287,,UNP,Benzinga,Citigroup  analyst Ariel Rosa   maintains Union Pacific (NYSE:UNP) with a Buy and raises the price target from $285 to $307.,https://finnhub.io/api/news?id=a71be45f0141a70988b98ae07a0bb386f5bc91c8a9d27711f47e6aa275f6905e
company,1777041769,What's next for Tesla,139877558,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UNP,Yahoo,"Tesla (TSLA) beat first quarter earnings and revenue estimates on Wednesday. Lossdog founder and CEO Tom Sosnoff, Yahoo Finance Senior Business Reporter Ines Ferré, and Yahoo Finance Senior Reporter Brooke DiPalma discuss the results and stock moves with Yahoo Finance Executive Editor Brian Sozzi.",https://finnhub.io/api/news?id=cd8bd68f17a77ad0e76acd50d4851b190375670693483ff38c4174e4950d4e5c
company,1777041660,"When Transport Stocks Rally, Recession Risks Fade: Technicals",139877724,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UNP,Yahoo,"Strength from FedEx, J.B. Hunt, and CSX can be seen as a positive economic indicator. Their stock charts speak to further upside.",https://finnhub.io/api/news?id=bf0f26b864e248fa6fa91dbef3a857b6a15476e0068a1363e6271136c4215d3d
company,1777038641,"Barclays Maintains Overweight on Union Pacific, Raises Price Target to $315",139889288,,UNP,Benzinga,Barclays  analyst Brandon Oglenski   maintains Union Pacific (NYSE:UNP) with a Overweight and raises the price target from $285 to $315.,https://finnhub.io/api/news?id=e559a2d54214275e234ccae38bc892b5e8ceffd7cdc4cf2124807d71970c4f8e
company,1777037054,Union Pacific Analysts Increase Their Forecasts Following Upbeat Q1 Earnings,139889289,https://cdn.benzinga.com/files/images/story/2026/04/24/Toronto--Canada--March-21--2023the-Union.jpeg?width=2048&height=1536,UNP,Benzinga,"Union Pacific reported better-than-expected Q1 earnings, with a 3% increase in operating revenue and reaffirmed its 2026 outlook.",https://finnhub.io/api/news?id=ce2bb7fa52f40201cf52b3de8575852ff47c9b065ffacb85f9db44d14c395e18
company,1777036490,"JP Morgan Maintains Neutral on Union Pacific, Raises Price Target to $275",139878890,,UNP,Benzinga,JP Morgan  analyst Brian Ossenbeck   maintains Union Pacific (NYSE:UNP) with a Neutral and raises the price target from $267 to $275.,https://finnhub.io/api/news?id=1f2b6a849b609b1b4e5477560535bf8e2b60698181440e8980da4adae136b9be
company,1777035278,Norfolk Southern's profit fell 27% as it didn't collect big insurance payments for Ohio derailment,139876449,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UNP,Yahoo,"The disastrous derailment in the small town on the Ohio-Pennsylvania border has generally boosted earnings in recent quarters as the railroad collected insurance payments, but that wasn't the case this time, so it combined with planning costs related to the merger, the derailment reduced earnings per share by 22 cents.  Without those unusual costs, the railroad's profit would have beat Wall Street estimates.",https://finnhub.io/api/news?id=a2a723508475e7fe564aeece340e9e9cd7fc9e8c93c33775e346a3ae0f44d4f1
company,1777033453,"TD Cowen Maintains Buy on Union Pacific, Raises Price Target to $282",139878891,,UNP,Benzinga,TD Cowen  analyst Jason Seidl   maintains Union Pacific (NYSE:UNP) with a Buy and raises the price target from $256 to $282.,https://finnhub.io/api/news?id=65b8a490a3d060d25c2b42c83826d8e228ec858b054cb71d64d25204afd7d235
company,1777030869,"Norfolk Southern: Watch It, But Union Pacific Is The Better Trade In The Deal Now (Earnings Review)",139877396,,UNP,SeekingAlpha,,https://finnhub.io/api/news?id=84d16d98329f8c1cba13a99b3ec6c3a821f38fcc376439b49960a3a4764b74a1
company,1777029780,"Stock Market News for Apr 24, 2026",139876416,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UNP,Yahoo,"U.S. stocks closed lower on Thursday as rising geopolitical tensions and uncertainty around Iran weighed on sentiment, while investors continue to evaluate earnings results and economic data.",https://finnhub.io/api/news?id=f1959e8a2f134d67f67f4df0a011726a32ff725db55848ca0142c3cc81bf1e52
company,1777025986,"Benchmark Maintains Buy on Union Pacific, Raises Price Target to $300",139878892,,UNP,Benzinga,Benchmark  analyst Nathan Martin   maintains Union Pacific (NYSE:UNP) with a Buy and raises the price target from $275 to $300.,https://finnhub.io/api/news?id=e868aa923a161e4d2d9e2bbb16c01ef2dabcb9baf0e6885879669bbfebe3d728
company,1777025544,"Wells Fargo Maintains Overweight on Union Pacific, Raises Price Target to $300",139878893,,UNP,Benzinga,Wells Fargo  analyst Christian Wetherbee   maintains Union Pacific (NYSE:UNP) with a Overweight and raises the price target from $260 to $300.,https://finnhub.io/api/news?id=d931ace9a5d8618b1becb0d6fec2c7812aa68d1ecfe05a65927f7dfbedb84f75
company,1777025296,Union Pacific Q1 Earnings Call Highlights,139875279,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UNP,Yahoo,"Union Pacific (NYSE:UNP) reported record first-quarter results for 2026, driven by pricing gains, strong operating performance and improved productivity, while management also spent a significant portion of the earnings call addressing the company’s pending merger effort and the timing of a revised",https://finnhub.io/api/news?id=e844c38d1cedcd98d54dec71f6bab2a956d947a999b388f95992d331f2154883
company,1777025285,"RBC Capital Maintains Outperform on Union Pacific, Raises Price Target to $289",139878894,,UNP,Benzinga,RBC Capital  analyst Walter Spracklin   maintains Union Pacific (NYSE:UNP) with a Outperform and raises the price target from $273 to $289.,https://finnhub.io/api/news?id=9d2a28893382960fcf4c1282538ec689080f0f6a6df0fe7e636c789053c59d81
company,1777024593,"BMO Capital Maintains Market Perform on Union Pacific, Raises Price Target to $285",139878895,,UNP,Benzinga,BMO Capital  analyst Fadi Chamoun   maintains Union Pacific (NYSE:UNP) with a Market Perform and raises the price target from $278 to $285.,https://finnhub.io/api/news?id=862e80f04dbcc449ca03b85c53e0698bb01ebfdd97fe6b966225514f2100a496
company,1777014566,Union Pacific Corp (UNP) Q1 2026 Earnings Call Highlights: Record Net Income and Strategic ...,139873382,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,UNP,Yahoo,"Union Pacific Corp (UNP) reports a 5% increase in net income and improved operational metrics, while navigating fuel cost headwinds and merger delays.",https://finnhub.io/api/news?id=9989464079b69559e9c91811b835e46b49ab0087079c294fe7f2ecb297bfe981
