category,datetime,headline,id,image,related,source,summary,url
company,1777061080,United Rentals (URI) Is Up 26.9% After Raising 2026 Revenue Guidance And Affirming Dividend - Has The Bull Case Changed?,139881895,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,URI,Yahoo,"In April 2026, United Rentals reported first‑quarter results showing sales of US$3,419 million, total revenue of US$3,985 million, and net income of US$531 million, alongside higher earnings per share versus the prior year. At the same time, the company raised its full‑year 2026 revenue guidance to a range of US$16.9 billion to US$17.4 billion and affirmed a quarterly dividend of US$1.97 per share, underscoring management’s confidence supported by strong demand in construction,...",https://finnhub.io/api/news?id=68a22e509b126112edba8913c2c4c8c05e3cad3881c513a21c22289088275aa5
company,1777048246,Nasdaq 100 Hits Best 4-Week Rally Since 2020 As Chips Notch Record Streak: The Week On Wall Street,139881174,https://cdn.benzinga.com/files/images/story/2026/04/24/Charlotte--North-Carolina---November-11-.jpeg?width=2048&height=1536,URI,Benzinga,"Nasdaq 100 rallied 18% over four weeks, its best run since April 2020. Intel posts best month ever, SOXX logs longest winning streak.",https://finnhub.io/api/news?id=5b8bf400b43cab5216fe527c3af405a8c33d90da7761c3090a289d328189b6a8
company,1777047544,"United Rentals Q1 Beat Driven by Large Projects, Cost Cuts, UBS Says",139879637,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,URI,Yahoo,United Rentals' (URI) Q1 beat and outlook raise were driven by strong execution on large projects an,https://finnhub.io/api/news?id=146011759ec427ae9abe31010eef4926a3d67874371db01b024a323872bdf9b0
company,1777043760,"Citigroup Maintains Buy on United Rentals, Raises Price Target to $1130",139880707,,URI,Benzinga,Citigroup  analyst Kyle Menges   maintains United Rentals (NYSE:URI) with a Buy and raises the price target from $950 to $1130.,https://finnhub.io/api/news?id=eaabcc2fe8ac99fe6aa3a450d9b7787e12460da6eb9f1dd8705972b651ea2ded
company,1777043187,"United Rentals Remains One of the Preferred Picks in US Construction, Morgan Stanley Says",139877827,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,URI,Yahoo,"United Rentals' (URI) Q1 results reflect better-than-expected fundamentals, and it remains one of th",https://finnhub.io/api/news?id=15399182ff609f8cdbdea405c48d1e80ba1a3aa0a9ecb395ca81f0697fcf3430
company,1777038540,FIX Beats Q1 Earnings & Revenue Estimates on Technology Demand Growth,139877841,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,URI,Yahoo,"Did data center demand fuel record growth and lead to backlog gains, aiding Comfort Systems in surpassing Q1 expectations?",https://finnhub.io/api/news?id=163766e306ad49f6d7f351995f835aeb86f90334910cd19a75b2dc05232cd2ab
company,1777031355,United Rentals Q1 Earnings Call Highlights,139875327,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,URI,Yahoo,"United Rentals (NYSE:URI) reported what executives called a “strong start” to the year, posting first-quarter records for revenue, EBITDA and earnings per share and raising full-year guidance. President and CEO Matt Flannery said the company is carrying momentum into the peak construction season and",https://finnhub.io/api/news?id=f7deb99512b26660d78bd862f1624ac59709469c7843877aa409ec2ecd7cde89
company,1777031139,"JP Morgan Maintains Overweight on United Rentals, Raises Price Target to $1050",139880708,,URI,Benzinga,JP Morgan  analyst Tami Zakaria   maintains United Rentals (NYSE:URI) with a Overweight and raises the price target from $850 to $1050.,https://finnhub.io/api/news?id=6f7c6af0e065cc6afe2372fc923a51fc4a48b4f399d6a74d83d97ea468a1d49f
company,1777029047,"Keybanc Maintains Overweight on United Rentals, Raises Price Target to $1150",139880709,,URI,Benzinga,Keybanc  analyst Ken Newman   maintains United Rentals (NYSE:URI) with a Overweight and raises the price target from $950 to $1150.,https://finnhub.io/api/news?id=90f134048afe2b70e871c76639e62ccc24ac216c66e9ad4e6438b994064881a3
company,1777028450,How To Build A Billion-Dollar Business Like Clockwork,139875183,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,URI,Yahoo,Building a billion-dollar business starts as an audacious idea that someone dared to take seriously.,https://finnhub.io/api/news?id=f436d393bf05035928cae15418cae9fbcb6775ba4126f9af813e145aa5e4bed8
