category,datetime,headline,id,image,related,source,summary,url
company,1777064760,Is the Cable Era Over? Charter’s Subscriber Slump Reignites Fears of a Fiber and Satellite Threat.,139881707,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,VZ,Yahoo,Subscriber losses could revive worries about the fierce competition Charter faces from fixed wireless and fiber connection services.,https://finnhub.io/api/news?id=226a7bed70d10910aca2cb9f071887a3f79897913d36ff5adce1d4be33ee337c
company,1777063631,"Comcast Has Limited Upside Potential Amid Broadband Competition, Deutsche Bank Says",139881828,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,VZ,Yahoo,Comcast's (CMCSA) share price has limited upside potential from here on out amid a challenging compe,https://finnhub.io/api/news?id=3a71ab96e4518fd7e7da749d781c9587e30df557d9bcb0a01e890af8f5c07c13
company,1777063500,"Dividend Champion, Contender, And Challenger Highlights: Week Of April 26",139883063,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/image_1072593728.jpg?io=getty-c-w1536,VZ,SeekingAlpha,"Weekly dividend summary for Dividend Champions, Contenders & Challengers: dividend changes, upcoming ex-dividend dates and pay dates.",https://finnhub.io/api/news?id=19957f4453d0e1e79fb4e0780f32c03feead8f44f3d398be6c2e3abbebf66834
company,1777057188,"This market is a beast if you own any data center stocks, says Jim Cramer",139888345,https://image.cnbcfm.com/api/v1/image/108297235-6ED3-MM-A-BLOCK-SHORT-042426.jpg?v=1777070720&w=1920&h=1080,VZ,CNBC,'Mad Money' host Jim Cramer looks ahead to next week's market moving moments.,https://finnhub.io/api/news?id=49d76e4834ee675e2fb0884af3941ae2502e04a2a65bfdb2746f33993c56b747
company,1777056967,Cramer looks ahead to next week's big tech earnings,139888347,https://image.cnbcfm.com/api/v1/image/108297234-6ED3-MM-A-BLOCK-042426.jpg?v=1777070551&w=1920&h=1080,VZ,CNBC,'Mad Money' host Jim Cramer looks ahead to next week's market moving moments.,https://finnhub.io/api/news?id=b1cfed3ba8249597ee87e1aaf0d63aa41ba7634398bd0cae24f1bcaa25fed8e9
company,1777056773,Verizon (VZ) Wins an Injunction Prohibiting T-Mobile’s Ad Campaign Promising Significant Savings,139880642,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,VZ,Yahoo,"Verizon Communications Inc. (NYSE:VZ) is one of the 10 Best Performing Dow Stocks So Far in 2026. On March 31, 2026, Reuters reported that a US federal judge granted Verizon Communications Inc. (NYSE:VZ) a preliminary injunction prohibiting T-Mobile from running commercials. It promises users above $1,000 in annual savings if they switch providers. U.S. District […]",https://finnhub.io/api/news?id=910bf4ae0d99a4835d1e4fd647eb20ecc48f9da841cfd2d10967c1f67b5220b9
company,1777030777,Buy 14 Ideal Graham Value All-Stars Of 27 'Safer' Dividends In 71 April/May GVAS,139877397,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1138851310/image_1138851310.jpg?io=getty-c-w1536,VZ,SeekingAlpha,"Discover the Apr/May 2026 Ben Graham All-Star Value âDogsâ: 14 safer, fairly priced dividend large-caps with 39.88% avg upside.",https://finnhub.io/api/news?id=dbd37f65a612416c83c31a96a117f8ef20a0a0da0cb85130d6d59fdcb50e7b9f
company,1777018000,How Verizon’s Expanded 5G Network Slicing and World Cup Buildout Could Impact Verizon Communications (VZ) Investors,139874316,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,VZ,Yahoo,"Earlier this month, Verizon Communications expanded its Verizon Frontline Network Slice, making dedicated 5G Ultra Wideband connectivity available on compatible laptops, tablets and smartphones used by first responders, while also deploying advanced 5G and fiber infrastructure for FIFA World Cup 2026 venues and surrounding communities. These moves underline Verizon’s push into higher-value public safety and large-event infrastructure, where reliable, prioritized connectivity and...",https://finnhub.io/api/news?id=fdf9f32ef38b4b1f5b17da8baed20be714bc39119ae1f95a1b62c5890d9ed1df
company,1777017749,How To Earn $500 A Month From Verizon Stock Ahead Of Q1 Earnings,139881399,https://cdn.benzinga.com/files/images/story/2026/04/24/Verizon-Communications-Inc-.jpeg?width=2048&height=1536,VZ,Benzinga,"Verizon (VZ) to release Q1 earnings on April 27. Analysts expect $1.21/share, raise in dividend yield. Barclays maintains Equal-Weight rating.",https://finnhub.io/api/news?id=b52b3ed3d9d329b30d8c3af1988a3af0117f6969e53abd2c7b6bba536846630f
company,1777014506,"T-Mobile: Deutsche Merger Will Not Happen, I Remain Long",139874934,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/670163964/image_670163964.jpg?io=getty-c-w1536,VZ,SeekingAlpha,T-Mobile's potential consolidation with Deutsche Telekom is seen as unlikely and potentially value-destructive due to lack of synergies. See why TMUS stock is a buy.,https://finnhub.io/api/news?id=cea9319f34efb68679fbce508326d481f5e042f382d86e922a90342e39d55a3d
