category,datetime,headline,id,image,related,source,summary,url
company,1777063322,"Dow Jones Futures: Apple, Amazon, Google Lead Earnings Wave For AI-Led Stock Market",139881689,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WDC,Yahoo,"The stock market is at highs but results and spending plans for Apple, Amazon, Google and more will be key for the AI-led rally",https://finnhub.io/api/news?id=c9d21eb957c793049697fc8e6c67ff6c0fafdc7040780d576bd69dd3071b9870
company,1777058627,Western Digital Stock Is Up 135% This Year – Here’s Why,139880758,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WDC,Yahoo,"Shares of Western Digital (NASDAQ:WDC) are trading around $404 Friday afternoon, modestly higher on the session and capping one of the strongest runs in the AI infrastructure complex this year. Impressively, WDC stock is up 134% year to date (YTD). The rally has legs across multiple timeframes. Western Digital shares have gained 9% in the ... Western Digital Stock Is Up 135% This Year – Here’s Why",https://finnhub.io/api/news?id=f5844bf6b24bf4528b2ac4581ffeac506de9fc7ef30160c9378ff203a49cc2a7
company,1777056967,Cramer looks ahead to next week's big tech earnings,139888347,https://image.cnbcfm.com/api/v1/image/108297234-6ED3-MM-A-BLOCK-042426.jpg?v=1777070551&w=1920&h=1080,WDC,CNBC,'Mad Money' host Jim Cramer looks ahead to next week's market moving moments.,https://finnhub.io/api/news?id=b1cfed3ba8249597ee87e1aaf0d63aa41ba7634398bd0cae24f1bcaa25fed8e9
company,1777048683,Barclays Raises its Price Target on Western Digital (WDC) to $405,139879543,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WDC,Yahoo,"Western Digital Corporation (NASDAQ:WDC) is one of the 10 Best Fast Growth Stocks to Invest In Now. On April 21, 2026, Barclays analyst Tom O’Malley raised the price target on Western Digital Corporation (NASDAQ:WDC) to $405 from $325 and maintained an Overweight rating after increasing estimates for the hard disk drive market. Tom O’Malley said […]",https://finnhub.io/api/news?id=1fe54ed2ae7078ac8e955ed2bcaaada6b063ab0c1b64e4ddcbc35e782b1cf8d9
company,1777045800,Is SIMO Stock a Smart Investment Option Before Q1 Earnings Release?,139879544,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WDC,Yahoo,"SIMO gears up for Q1 earnings as AI-driven SSD demand and new product launches boost outlook, but competition and valuation concerns cloud the picture.",https://finnhub.io/api/news?id=e5ffb6d4e91a63a4289b615f86705e8951edce91cee0fbc710a8d742514bdfeb
company,1777040471,"Apple Stock, Back In Growth Mode, In Earnings Spotlight With Google, Meta, Amazon",139877457,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WDC,Yahoo,"After two strong quarters, Apple stock has been in rally mode ahead of an important week of earnings for the Magnificent Seven stocks.",https://finnhub.io/api/news?id=5eff453e21041d7678c032663b4ce25e730c1a5069c85a4059ace6f847037fb7
company,1777039800,Seagate Launches New Storage Solutions: Revenue Upside Ahead?,139877879,https://s.yimg.com/rz/stage/p/yahoo_finance_en-US_h_p_finance_2.png,WDC,Yahoo,"STX rolls out new high-capacity storage lineup aimed at AI, gaming and creators, positioning for potential revenue growth amid rising data demand.",https://finnhub.io/api/news?id=5cbce0512edef454da5b8cf37bf43d7645ebd06f43783241fcd1871d20156c08
company,1777034103,Top S&P500 movers in Friday's pre-market session,139875617,https://www.chartmill.com/images/uploads/CM_Premarket_Movers_Small_free_90289f6b81.webp,WDC,ChartMill,"As we await the opening of the US market on Friday, let's delve into the pre-market session and discover the S&P500 top gainers and losers shaping the early market sentiment.",https://finnhub.io/api/news?id=9fe8811e138d2964fed48e22574c9fc98d2857b10ce004c060fac7a3ad74a358
company,1777032508,"Stocks making the biggest moves midday: Intel, AMD, Charter, Hims & Hers, Eli Lilly and more",139878627,https://image.cnbcfm.com/api/v1/image/108230191-17637574202025-11-21t203348z_1528530032_rc231ianvoco_rtrmadp_0_usa-stocks.jpeg?v=1777050196&w=1920&h=1080,WDC,CNBC,These are the stocks posting the largest moves in midday trading. ,https://finnhub.io/api/news?id=3172d1bd7bfda2bcc3015a115426be37bdc526a2712aa9c1c6176795b383b115
company,1777030817,What's Going On With Micron Technology Stock Friday?,139878380,https://cdn.benzinga.com/files/images/story/2026/04/24/Micron-Technology-Logo-Displayed-On-A-Mo.jpeg?width=2048&height=1536,WDC,Benzinga,"Micron (MU) shares climb on surging AI demand. Get the latest on price targets, technical trends, and analyst ratings for the stock.",https://finnhub.io/api/news?id=2bd08b960e5ed9ab9c29e17ab4878ac1a58f2f090356c0ff7838da3830c9c2a5
company,1777015377,"Stocks making the biggest moves premarket: Intel, Advanced Micro Devices, Procter & Gamble & more",139878634,https://image.cnbcfm.com/api/v1/image/108214640-1761048654627-gettyimages-2236851828-cfoto-intelsee250924_npBdv.jpeg?v=1769090402&w=1920&h=1080,WDC,CNBC,These are the stocks posting the largest moves premarket.,https://finnhub.io/api/news?id=9b5d4eb354d5dee2df0b48529805077261b2173a76764d7d29ed89c33e2ac43c
